"timestamp","customer","job_number","grain_screened","proof_on_ctd_ink","paper_type","ink_type","solvent_type","type_on_cylinder","press_type","press","unit_number","cylinder_size","paper_mill_location","plating_tank","proof_cut","viscosity","ink_temperature","humifity","roughness","blade_pressure","varnish_pct","press_speed","ink_pct","solvent_pct","ESA_Voltage","ESA_Amperage","wax","hardener","roller_durometer","current_density","anode_space_ratio","chrome_content","band_type"
"19900602","54","36859","3","3","4","3","1","1","1","802",2,"2","3","1910",50,56,14.3,105,0.75,70,0,1600,55.5,44.5,0,0,3,1,45,3,100,3,"band"
"19901107","48","36166","2","3","4","1","1","1","3","828",2,"4","3","1910",45,43,16,80,0.75,30,3.1,2200,51,45.9,0,0,2.5,1.3,35,5,103.33,3,"noband"
"19910603","48","37365","2","3","4","1","1","2","3","827",9,"4","1","1911",37,70,15,65,0.75,25,5.4,1500,54.3,40.2,0,0,2.3,0.9,40,5,106.66,3,"noband"
"19920405","70","34227","2","3","2","1","1","2","3","824",9,"4","3","1910",35,42,15,78,0.5625,40,3.4,1750,56.8,38.6,0,0,2.3,1,34,5,103,3,"band"
"19910117","69","37340","2","3","2","1","1","2","3","824",2,"4","1","1911",30,43,16.3,70,0.8125,25,1.2,2200,58.1,40.7,4,0,2,1,30,5,96.875,3,"noband"
"19900921","63","34551","2","3","2","1","1","2","4","815",1,"3","1","1910",35,72,15.2,72,1,36,0,2200,65.2,34.8,0,0,2.5,1,30,5,93.6,1,"band"
"19910426","35","37994","3","3","4","3","1","1","3","821",2,"4","3","1911",55,45,15.5,79,0.625,20,16.7,1850,54.3,34.3,4,0,2.5,1,34,5,100,3,"noband"
"19900614","25","34397","3","3","4","3","1","2","2","813",6,"2","2","1910",50,53,16.5,90,0.75,30,11.3,1300,51.5,37.1,0,0,2.5,0.7,28,3,100,3,"noband"
"19910619","69","37199","2","3","4","1","1","2","3","824",9,"4","1","1910",40,64,16.5,82,0.5625,30,2.3,1900,57.5,40.2,0,0,1.3,0.8,30,5,106.45,3,"band"
"19900612","69","36894","2","3","2","1","1","2","3","824",9,"4","1","1910",30,51,16,76,0.875,25,19.1,2250,42.7,38.2,3,0,1.2,0.5,30,3,103.3,3,"noband"
"19900812","52","34175","2","3","2","1","1","2","3","821",2,"4","3","1910",30,54,16.8,71,0.75,25,18,2000,45,36.9,0,0,2.5,0.9,35,3,106.9,3,"noband"
"19910724","66","35522","3","3","4","3","1","1","1","802",2,"2","3","1911",40,65,15,80,0.625,50,10.4,1640,47.2,42.4,1,0,3,1.5,32,5,103.13,3,"band"
"19910302","27","35457","2","3","2","1","1","2","3","828",9,"4","1","1910",35,39,16.2,84,1,30,0,2100,62.5,37.5,4,0,2,0.9,30,5,94.117,3,"noband"
"19910307","53","47202","2","3","4","3","1","2","4","816",2,"2","3","1910",67,45,15.5,80,0.5,34,16.3,1683,43.5,40.2,6,0,2.5,1,40,5,109.67,3,"noband"
"19910307","53","47202","2","3","2","3","1","2","2","813",10,"2","3","1910",35,45,15.2,63,1,30,0,1500,59.5,40.5,0,0,2.3,0.9,40,5,109.67,3,"noband"
"19910301","48","37386","3","3","4","3","1","2","3","827",9,"4","5","1910",40,39,15,79,0.75,20,11.8,2000,49,39.2,0,0,2.5,1,40,5,103.22,3,"noband"
"19910605","27","35460","2","3","2","1","1","2","3","824",9,"4","1","1910",45,54,15.5,74,0.5625,40,10.5,2250,52.6,36.8,2,0,2.5,1.8,30,5,106.45,3,"noband"
"19900617","36","34093","3","3","4","2","1","1","3","821",7,"4","3","1910",52,62,14.5,95,0.75,20,0,1950,58.8,41.2,0,0,2,1,38,3,100,3,"band"
"19901101","65","25445","3","3","4","3","1","2","3","821",7,"4","3","1910",52,43,15,71,0.75,28,7.4,1500,53.2,39.4,0,0,2.5,1,34,5,98.3,3,"band"
"19901010","63","34522","2","3","2","3","1","2","4","816",2,"3","3","1911",40,50,13,74,0.25,25,0,2500,58.8,41.2,2,0,2.5,0.5,30,5,114.29,3,"noband"
"19910528","53","47203","3","3","4","3","1","2","2","813",1,"2","3","1910",50,68,13.4,70,0.75,30,20.4,1700,46.3,33.3,0,0,2.5,1,40,5,106.45,3,"band"
"19900819","26","38016","3","3","4","3","1","2","2","813",1,"2","3","1910",45,56,15.5,78,0.75,30,11.1,1350,55.5,33.3,0,0,2.2,0.9,28,3,100,3,"noband"
"19900805","68","34493","2","3","2","1","1","1","4","816",2,"4","3","1910",35,55,15,70,0.5,35,0,2000,58.8,41.2,0,0,2.5,1.5,30,3,100,3,"band"
"19941010","48","85814","2","3","3","3","1","2","3","828",2,"4","3","1910",45,46,16.4,76,1,34,3.4,1903,56.8,38.6,0,0,1.5,2.3,34,5,108,3,"band"
"19910212","60","37869","2","3","4","1","1","2","4","815",2,"2","3","1910",35,44,16,80,1,32,7,1400,58.1,34.9,0,0,3,1,28,5,103.12,3,"noband"
"19910810","18","37001","3","3","4","3","1","1","1","802",7,"2","3","1911",45,62,15,76,0.75,50,0,1500,58.8,41.2,0,0,3,1.2,38,5,103.225,3,"band"
"19910322","44","38051","2","3","4","1","1","2","4","816",9,"4","3","1910",55,49,15.6,74,0.75,24,0,1650,58.8,41.2,0,0,2.5,1.7,33,5,103.33,3,"noband"
"19900909","53","47105","3","3","4","3","1","1","4","816",9,"2","3","1910",65,50,15,86,0.25,28,10.5,1700,52.6,36.8,2,0,2.5,0.6,40,5,103.3,3,"noband"
"19900614","25","34397","3","3","4","3","1","2","2","813",1,"2","2","1910",50,53,16,65,0.75,30,15.8,1300,49.5,34.7,0,0,2.5,1,28,3,93.5,3,"noband"
"19910103","53","47201","2","3","2","1","1","1","2","813",9,"2","3","1911",45,45,15,87,1,30,0,1400,62.5,37.5,0,0,2.5,1,40,5,103.22,3,"band"
"19910507","53","47203","3","3","4","3","1","1","1","802",7,"2","3","1910",50,55,13.34,74,0.625,30,4.8,1635,59.5,35.7,1,0,3,2,40,5,100,3,"noband"
"19910404","70","37081","2","2","2","1","1","2","3","828",1,"4","1","1911",35,44,15.5,100,0.875,30,0,2200,53.2,46.8,0,0,0,0,30,5,100,3,"band"
"19900620","63","34547","2","3","2","1","1","2","3","827",2,"3","1","1910",32,54,15.5,78,1,25,0,1900,58.8,41.2,10,0,2.5,0.5,30,3,93.3,3,"noband"
"19900625","56","34092","3","3","4","3","1","1","4","815",9,"2","3","1910",65,58,15,74,0.625,32,0,1800,57.5,42.5,1,0,2.5,1,38,4,103.2,3,"band"
"19910809","5","39200","3","3","4","3","1","1","4","815",2,"2","3","1910",40,68,14.8,90,1,30,0,1440,58.8,41.2,0,0,2.5,1,40,5,103.13,3,"band"
"19910319","65","25513","3","3","4","3","1","2","3","821",7,"4","3","1911",45,45,14.7,75,0.625,30,15,1734,50,35,2,0,1.5,0.6,34,5,103.22,3,"band"
"19901007","15","38059","3","3","4","3","1","1","1","802",2,"2","3","1910",42,52,18,70,0.625,45,0,1700,58.8,41.2,0,0,3,0.7,34,5,103.125,3,"noband"
"19910213","9","35334","3","3","4","3","1","2","4","816",9,"4","3","1911",32,43,15,82,1,31,7.6,1500,54.3,38,4,0,2.5,1,40,5,103.12,3,"noband"
"19910614","69","37501","2","3","2","1","1","2","4","815",2,"4","1","1910",30,69,16,98,0.75,35,0,2050,62.5,37.5,0,0,2.75,1,33,5,100,3,"noband"
"19900330","33","23040","3","3","4","3","1","1","3","821",7,"4","3","1910",50,59,14.5,71,0.625,20,11.1,1650,55.5,33.3,0,0,2.5,1,40,5,103.13,3,"band"
"19900603","55","36859","3","3","4","2","1","1","1","802",2,"2","3","1910",50,65,17,100,0.625,52,5.6,1650,55.5,38.9,0,0,3,0.6,45,5,103.13,3,"band"
"19931008","44","35425","2","3","3","3","1","2","3","821",7,"4","3","1911",45,54,15.5,80,0.75,40,3.4,2000,56.8,38.6,0,0,1.8,1.3,34,5,107.14,3,"band"
"19900824","23","34399","3","3","4","3","1","2","2","813",5,"2","3","1910",42,54,15,70,0.75,30,13.4,1500,48.1,38.5,2,0,2.5,1,60,7,93.75,3,"noband"
"19910206","65","25507","3","3","4","3","1","2","3","821",7,"4","3","1910",40,44,14,69,0.625,20,8.5,1510,53.2,38.3,2,0,2.5,0.9,34,5,110,3,"noband"
"19910104","51","39039","3","3","4","3","1","2","4","816",9,"2","3","1910",52,40,16,75,0.3125,30,5.6,1467,55.6,38.8,0,0,2.5,1.3,40,5,108.06,3,"noband"
"19910117","38","35539","3","3","4","3","1","2","3","821",7,"4","3","1911",50,50,15,70,1,30,10,1600,50,40,0,0,2.8,1,38,5,106.66,3,"band"
"19921001","11","36054","2","3","3","3","1","2","1","816",2,"2","3","1911",45,47,15,85,0.5,24,3.4,1470,56.8,38.6,0,0,1.8,1.7,34,5,96.9,3,"band"
"19901119","44","34781","2","3","4","1","1","2","4","816",9,"4","3","1910",70,43,16,77,0.8175,28,15.9,2125,46.5,37.6,3,0,1.75,0.6,33,5,100,3,"noband"
"19900710","53","47104","3","3","4","3","1","2","1","802",2,"2","3","1910",40,56,16.5,80,0.75,45,20.3,1400,44.2,35.5,0,0,3,0.6,40,3,100,3,"noband"
"19901211","7","38121","3","3","4","2","1","1","4","815",2,"2","1","1910",45,40,16,89,0.625,22,0,1300,60,40,1,0,2.5,1,40,5,106.45,3,"band"
"19900821","7","34066","3","3","4","3","1","2","1","802",2,"2","1","1910",52,55,14,80,0.75,55,9.9,1600,49.5,40.6,0,0,3,0.5,40,7,93.75,3,"noband"
"19900811","68","34493","2","3","2","3","1","1","4","816",9,"4","3","1910",45,54,17,94,0.25,26,0,1900,56.8,43.2,0,0,2.5,0.9,30,3,100,3,"noband"
"19910320","65","25513","3","3","4","3","1","2","3","821",2,"4","3","1911",45,45,15.1,75,0.625,20,15,1750,50,35,0,0,1.6,0.9,34,5,103.22,3,"noband"
"19901219","65","25452","3","3","4","3","1","2","3","821",2,"4","3","1910",65,50,15.1,75,0.625,20,19,1800,47.6,33.4,0,0,2.7,0.6,34,5,110.71,3,"noband"
"19910131","48","37352","2","3","2","1","1","2","3","827",9,"4","4","1911",40,42,14.5,74,1,25,8,2100,57.5,34.5,0,0,2.3,0.7,35,5,107.4,3,"band"
"19900813","68","34493","2","3","2","1","1","2","3","824",2,"4","3","1910",30,54,14.6,70,0.8125,30,0,2000,58.8,41.2,0,0,1.5,0.6,30,3,106.9,3,"noband"
"19901211","6","34590","2","3","2","1","1","2","3","827",9,"4","1","1910",50,40,15,72,0.75,30,0,2233,58.8,41.2,8,0,1.5,1,33,5,106.45,3,"noband"
"19901108","70","34997","2","3","2","1","1","1","4","815",1,"4","1","1910",32,43,13,80,0.75,28,0,1500,62.5,37.5,0,0,0,0,30,5,100,3,"band"
"19900813","26","38016","3","3","4","3","1","1","1","802",2,"2","2","1910",45,54,14.3,67,0.75,45,12.3,1420,51.5,36.1,0,0,3,0.6,28,3,106.9,3,"noband"
"19901206","50","36805","3","3","4","3","1","1","4","815",2,"4","2","1910",50,42,17,88,0.75,30,0,1600,62.5,27.5,5,0,2.6,1,38,5,106.25,3,"band"
"19910730","65","25532","3","3","4","3","1","2","3","821",2,"4","3","1910",40,59,15,80,0.75,40,13.3,1750,51,35.7,0,0,2.2,0.7,34,5,100,3,"band"
"19910416","65","25517","3","3","4","3","1","1","3","821",7,"4","3","1911",55,53,14.2,72,0.625,25,22.7,1750,45.5,31.8,1,0,2.4,0.9,34,5,103.125,3,"band"
"19910503","33","23055","3","3","4","2","1","2","3","821",7,"4","3","1910",42,52,13.9,76,0.625,25,0,1800,50,50,0,0,2.5,0.9,40,5,106.66,3,"band"
"19910611","69","37177","2","3","2","1","1","2","3","828",9,"4","1","1910",30,56,17,72,0.75,30,0,2550,52.6,47.4,0,0,2,1,33,5,103.22,3,"noband"
"19910309","48","37386","2","3","4","3","1","2","3","827",2,"4","5","1911",45,43,14.2,68,0.75,18,0,2000,62.5,37.5,0,0,2.5,1.2,40,5,106.45,3,"band"
"19901206","65","25450","3","3","4","3","1","2","3","821",2,"4","3","1910",50,42,15.5,73,0.625,20,3.6,1800,60.2,36.2,0,0,2.5,0.9,34,5,106.25,3,"noband"
"19900507","53","47103","3","3","4","3","1","2","2","813",1,"2","3","1910",55,54,13.23,79,1,30,18.9,1700,47.2,34,0,0,2,0.6,40,2,100,3,"noband"
"19910311","48","37386","3","3","4","3","1","2","3","824",9,"4","5","1911",40,40,18.5,85,0.5625,30,0,1900,62.5,37.5,4,0,1.8,1.4,40,5,106.45,3,"band"
"19910524","40","37915","2","3","2","1","1","2","4","815",2,"4","3","1910",50,62,15.4,98,0.75,25,10.6,1750,48.1,41.3,0,0,2.8,1.3,33,5,110,3,"noband"
"19901114","70","34997","2","3","2","1","1","2","4","815",9,"4","1","1910",50,47,16.2,74,0.75,28,10.8,2000,53.4,35.8,0,0,2.5,1.3,30,5,100,3,"band"
"19900924","53","47105","3","3","4","3","1","2","2","813",5,"2","3","1911",60,48,16,72,1,30,15.2,1600,44.6,40.2,0,4,2.1,0.7,40,5,96.97,1,"noband"
"19910319","59","35753","2","3","2","1","1","2","3","824",9,"4","1","1910",40,43,16,80,0.5625,30,5.6,1900,55.6,38.9,0,0,2.2,1.3,30,5,103.22,3,"noband"
"19910622","62","35528","3","3","4","3","1","2","4","816",2,"3","3","1910",40,68,14,88,0.75,32,0,1742,60,40,3,0,2.5,1,40,5,103.125,3,"band"
"19910430","65","25519","3","3","4","3","1","1","3","821",7,"4","3","1910",52,64,15.5,82,0.625,30,0,1800,71.4,28.6,4,0,2.5,0.9,34,5,103.125,3,"band"
"19910223","8","35335","3","3","4","3","1","2","3","827",2,"4","3","1911",45,41,17,78,0.75,16,14.1,1100,50.5,35.4,0,0,2.5,1,50,5,96.97,3,"band"
"19910227","48","37354","2","3","4","1","1","2","3","821",2,"4","3","1911",42,41,14,80,0.625,20,7.4,1750,53.2,39.4,0,0,2.1,0.9,35,5,96.97,3,"noband"
"19900509","53","47103","3","3","4","3","3","2","4","816",9,"2","3","1910",50,50,14.5,84,0.25,24,20.7,1500,41.3,38,0,0,3,0.6,40,2,103.3,3,"band"
"19901102","6","34588","2","3","2","1","1","2","4","815",2,"4","1","1910",40,43,17.2,78,0.9375,30,1,2180,58.3,40.7,2,0,2.4,0.8,33,5,96.77,3,"band"
"19900625","69","36058","2","3","2","1","1","2","3","824",2,"4","1","1911",50,58,15.5,75,0.8125,24,0,2200,58.8,41.2,0,0,1.5,0.6,30,6,100,3,"noband"
"19910405","59","35754","2","3","2","1","1","2","3","824",9,"4","1","1910",47,43,16,80,0.5625,30,9.1,2400,50.5,40.4,0,0,2.5,1.1,30,5,103.125,3,"noband"
"19900926","68","36578","2","3","2","1","1","1","3","827",9,"4","2","1911",35,48,14.5,76,0.75,20,0,2225,62.5,37.5,4,0,2.7,1.2,33,5,106.25,1,"noband"
"19900615","63","34547","2","3","2","1","1","2","4","815",9,"3","1","1910",30,58,15.9,81,0.625,30,0,2150,62.5,37.5,10,0,2.5,1,30,3,90,3,"noband"
"19910428","64","35871","2","2","2","1","1","2","3","824",9,"4","1","1911",35,56,16,82,0.5625,28,5.6,2100,56.2,38.2,0,0,1.7,0.4,30,5,103.125,3,"noband"
"19900608","43","36649","2","3","2","1","1","2","2","813",6,"2","4","1911",47,62,15,84,0.75,30,5.6,1800,56.2,38.2,0,0,2.5,1,35,5,96.7,3,"noband"
"19910629","51","37938","3","3","4","3","1","2","4","816",2,"2","1","1910",60,66,14.5,85,0.25,30,0,1800,62.2,37.8,0,0,2.5,1,34,5,106.45,3,"band"
"19900727","58","36644","3","3","4","3","1","1","1","802",7,"2","3","1910",60,53,14.7,70,0.75,50,20.2,1550,42,37.8,3,0,3,1,40,3,111.1,3,"noband"
"19900831","65","25437","3","3","4","3","1","1","3","821",2,"4","3","1911",57,51,15.6,81,0.75,25,9.8,1850,49,41.2,0,0,2.7,0.6,34,1,100,3,"noband"
"19900921","63","34551","2","3","2","1","1","1","4","815",1,"3","1","1910",35,56,15,70,1,33,0,2350,65.2,34.8,0,0,2.5,1,30,5,93.75,1,"band"
"19901210","63","34556","2","3","2","1","1","2","4","816",2,"3","1","1910",37,42,16,70,0.375,28,0,2400,58.8,41.2,3,0,3,0.8,30,5,106.45,3,"band"
"19900625","56","34092","3","3","4","3","1","2","4","815",2,"2","3","1910",65,49,13.5,82,0.625,30,0,1350,68.2,31.8,1,0,2.5,1,38,4,103.2,3,"band"
"19901105","40","34716","2","3","4","1","1","2","4","816",9,"4","3","1910",40,43,16.4,79,0.3125,35,0.5,2400,59.5,40,0,0,2.6,1.1,35,5,96.77,3,"noband"
"19910822","62","35529","3","3","4","3","1","2","1","802",7,"3","3","1911",47,58,13.1,70,0.75,55,10,1660,50,40,0,0,2.9,1,34,5,96.88,3,"band"
"19901014","64","34756","2","2","2","1","1","2","3","824",2,"4","1","1911",30,54,16.3,80,0.8125,30,0,2100,60,40,3,0,2.5,1.2,30,5,114.29,3,"noband"
"19910730","59","35761","2","3","2","1","1","2","3","828",2,"4","3","1910",35,59,16.1,82,0.75,28,0,2500,58.8,41.2,0,0,2.5,1.3,30,5,100,3,"noband"
"19900807","6","34585","2","3","2","1","1","2","3","828",2,"4","1","1910",30,50,15.6,84,1,30,0,2400,58.8,41.2,4,0,2.5,0.9,33,3,96.8,3,"noband"
"19910517","64","35982","2","2","2","1","1","1","3","824",2,"4","1","1910",47,67,16,74,0.8125,38,0,1900,58.8,41.2,2,0,2.5,1.1,33,5,103.125,3,"noband"
"19910502","53","47203","3","3","2","1","1","1","2","813",9,"2","3","1910",55,55,16.3,100,1,30,0,1650,58.8,41.2,0,0,2.5,1,40,5,106.66,3,"band"
"19901115","63","34554","2","3","4","1","1","2","3","827",9,"3","3","1911",45,42,14,75,1,20,0,1800,58.9,41.1,8,0,3,2,35,5,100,3,"noband"
"19911211","34","37018","2","3","2","1","1","2","4","816",2,"3","3","1911",42,47,16.2,78,0.75,30,0,2100,56.2,43.8,0,0,2.5,1.2,33,5,110,3,"band"
"19910604","48","37305","2","3","4","1","1","2","4","815",9,"4","4","1911",35,68,15.1,90,0.875,30,6,1500,59.5,34.5,1,0,2.5,1,35,5,106.89,3,"band"
"19910402","63","35814","2","3","4","1","1","2","3","827",9,"3","1","1911",37,43,14,80,1.25,20,6.25,1800,52.1,41.7,0,0,3,1.5,33,5,106.66,3,"noband"
"19900726","58","36644","3","3","4","3","1","1","1","802",7,"2","3","1910",57,53,14.5,70,0.625,58,20.2,1600,42,37.8,3,0,3,1,40,3,105.2,3,"noband"
"19910614","59","35759","2","3","2","1","1","2","3","827",2,"4","1","1910",45,69,15.6,72,0.75,21,5.6,2426,55.6,38.9,0,0,2.85,1.1,30,5,103.22,3,"noband"
"19930624","48","85741","2","3","4","3","1","2","1","816",2,"4","3","1911",45,51,15,80,0.5,30,3.4,2020,56.8,38.6,0,0,2.9,0.5,34,5,110.3,3,"band"
"19910610","69","37501","2","3","2","1","1","2","4","816",2,"4","3","1910",45,56,16.02,84,0.25,30,5.3,2244,52.6,42.1,5,0,3,0.8,30,5,110,3,"noband"
"19910111","48","37351","2","3","4","1","1","2","4","816",2,"4","3","1910",50,46,17,80,0.75,30,0,2100,57.5,42.5,5,0,2.3,0.6,35,5,106.67,3,"noband"
"19901003","65","25441","3","3","4","3","1","1","3","821",7,"4","3","1910",55,50,17,89,1,22,10.4,1650,52.1,37.5,0,0,2.5,1.1,34,5,93.55,1,"band"
"19900730","25","23050","3","3","4","3","1","2","4","816",9,"2","3","1910",55,54,15.8,79,0.5,30,12.4,1500,51.5,36.1,0,0,3,0.5,32,3,93.3,3,"noband"
"19901218","25","35525","3","3","4","3","1","2","4","815",2,"2","3","1910",40,41,15.5,76,0.75,28,3.6,1750,60.2,36.1,4,0,3,1,40,5,117.85,3,"noband"
"19900812","52","34175","2","3","2","1","1","1","3","821",7,"4","3","1910",30,54,15.8,68,0.75,25,6.4,2000,53.2,40.4,4,0,2.3,0.8,35,3,106.9,3,"noband"
"19920705","48","34527","2","3","4","1","1","2","3","821",7,"3","3","1910",50,66,14.8,80,0.625,30,3.4,1840,56.8,38.6,0,0,2.5,1,34,5,100,3,"band"
"19910216","63","35811","2","3","2","1","1","2","4","815",9,"3","1","1911",40,35,18,85,0.625,30,0,2000,62.5,37.5,0,0,2.5,0.9,30,5,103.125,3,"noband"
"19900926","68","36578","2","3","2","1","1","1","3","827",2,"4","2","1911",35,48,14.5,74,0.75,20,0,2225,62.5,37.5,4,0,2,1.2,33,5,106.25,1,"noband"
"19900706","6","34583","2","3","2","1","1","2","3","827",9,"4","1","1911",40,47,15,75,0.75,25,0,2100,61.1,38.9,0,0,2.4,1.1,33,5,96.9,3,"noband"
"19900710","53","47104","3","3","2","1","1","2","2","813",9,"2","3","1911",55,56,15,93,0.75,30,0,1250,62.5,37.5,0,0,2.5,1,40,5,96.8,3,"noband"
"19901004","48","36197","2","3","4","3","1","2","4","815",2,"4","2","1911",47,58,14,85,0.75,28,16.5,1800,48.5,35,0,0,2.5,0.5,35,5,114.3,3,"band"
"19920408","11","37998","2","3","4","1","1","2","4","815",2,"4","3","1910",30,50,16.1,79,0.625,25,3.4,1400,56.8,38.6,0,0,2.5,1,34,5,106,3,"band"
"19910804","48","37371","2","3","4","1","1","2","4","816",9,"4","3","1910",40,58,15,80,0.1875,30,3.2,2000,53.8,43,0,0,2.5,1,35,5,103.125,3,"noband"
"19910423","27","35458","2","3","2","1","1","1","4","816",9,"4","1","1910",40,56,16.5,79,0.5,28,0,2300,60.2,39.8,0,0,2.5,1.5,30,5,106.45,3,"band"
"19900622","16","38025","3","3","4","3","1","1","4","815",9,"2","3","1910",57,55,14,86,0.75,30,13,1700,50,37,0,0,2.9,0.9,34,3,100,3,"noband"
"19910215","17","37441","2","3","2","1","1","2","3","821",2,"4","1","1911",25,38,13,75,0.625,25,0,1600,57.5,42.5,0,0,2.5,0.85,30,5,103.12,3,"noband"
"19910307","53","47202","3","3","4","3","1","2","2","813",5,"2","3","1910",52,45,16,68,0.75,30,0,1600,58.8,41.2,4,0,2.3,0.8,40,5,109.67,3,"noband"
"19910318","48","37355","2","3","4","1","1","2","3","827",2,"4","3","1910",40,43,16.5,72,0.625,20,9.1,2000,56.8,34.1,4,0,2.5,0.5,35,5,103.22,3,"noband"
"19900606","54","36859","3","3","4","3","1","2","1","802",7,"2","3","1911",55,54,15,70,0.625,60,3.4,1600,56.8,39.8,0,0,1,0.4,45,5,103.3,3,"noband"
"19901109","40","34716","2","3","4","1","1","1","4","816",9,"4","3","1910",40,51,15,70,0.25,24,0.5,0,59.5,40,0,0,3,1,35,5,100,3,"band"
"19901222","7","38121","3","3","4","3","1","2","4","815",9,"2","1","1911",45,60,16,88,0.75,33,0,1500,56.8,43.2,0,0,2.9,1.1,40,5,103.22,3,"band"
"19900426","63","34545","2","3","4","1","1","1","3","827",9,"4","1","1910",40,48,15,82,1,35,0,1720,59.3,40.7,0,0,1.5,1.5,32,2,100,3,"noband"
"19900723","66","35683","3","3","4","3","1","1","1","802",2,"2","3","1910",65,61,14.8,80,0.375,45,19.5,1660,42.4,38.1,0,0,3,1,32,3,105.2,3,"noband"
"19910617","36","37990","3","3","4","3","1","2","2","813",1,"2","3","1910",50,66,16,87,1,30,11.1,1530,55.6,33.3,0,0,2.5,1,34,5,100,3,"band"
"19911209","34","37018","2","3","2","1","1","2","4","816",9,"3","3","1911",42,52,16,82,0.75,30,0,2150,58.8,41.2,0,0,2.5,1,33,5,110,3,"band"
"19920326","59","34294","2","3","2","1","1","2","3","821",2,"4","3","1910",35,48,16,72,0.75,20,3.4,1650,56.8,38.6,0,0,1.5,1.1,34,5,83.33,3,"band"
"19911104","64","35880","2","2","2","1","1","2","4","816",2,"2","3","1910",40,38,16.5,85,0.625,30,4.3,1900,53.2,42.5,0,0,3,1,30,5,103.13,3,"band"
"19901017","61","38240","3","3","4","3","3","2","1","802",7,"2","2","1911",60,46,15.25,80,0.625,50,12.4,1391,51.5,36.1,2,0,2.7,1,38,5,114.29,3,"noband"
"19901219","65","25452","3","3","4","3","1","2","3","821",7,"4","3","1910",67,50,16.5,73,0.875,20,18.1,1800,47.6,34.3,0,0,2.5,0.8,34,5,110.71,3,"band"
"19910123","66","35521","3","3","4","3","1","2","2","813",1,"2","1","1911",60,38,16.5,66,0.75,30,6.7,1400,56.2,37.1,0,0,1.1,1.4,32,5,103.22,3,"noband"
