"RIVER","LOCATION","ERECTED","PURPOSE","LENGTH","LANES","CLEAR.G","T.OR.D","MATERIAL","SPAN","REL.L","TYPE"
"A","24",1969,"HIGHWAY",870,6,"G","THROUGH","STEEL","MEDIUM","F","ARCH"
"A","37",1918,"RR",2300,2,"N","DECK","STEEL","LONG","F","CONT-T"
"M","23",1950,"HIGHWAY",1320,2,"G","THROUGH","STEEL","MEDIUM","S-F","SIMPLE-T"
"A","32",1924,"HIGHWAY",2365,4,"G","THROUGH","STEEL","MEDIUM","S","ARCH"
"O","41",1915,"RR",2822,2,"G","THROUGH","STEEL","LONG","F","SIMPLE-T"
"O","45",1878,"RR",1620,2,"G","THROUGH","STEEL","LONG","F","SIMPLE-T"
"A","27",1926,"HIGHWAY",860,4,"G","THROUGH","STEEL","MEDIUM","S-F","SUSPEN"
"A","35",1903,"RR",3000,2,"G","THROUGH","STEEL","MEDIUM","S","SIMPLE-T"
"M","16",1903,"RR",1300,2,"G","THROUGH","STEEL","MEDIUM","S","SIMPLE-T"
"M","7",1978,"HIGHWAY",950,6,"G","THROUGH","STEEL","LONG","F","ARCH"
"A","39",1853,"RR",1000,2,"N","DECK","WOOD","MEDIUM","S","WOOD"
"A","28",1864,"RR",1200,2,"N","THROUGH","IRON","SHORT","S","SIMPLE-T"
"M","17",1891,"HIGHWAY",1120,2,"G","THROUGH","IRON","MEDIUM","F","SIMPLE-T"
"A","33",1856,"HIGHWAY",1000,2,"N","THROUGH","WOOD","MEDIUM","S","WOOD"
"M","15",1898,"RR",2000,2,"G","THROUGH","STEEL","MEDIUM","S","SIMPLE-T"
"A","30",1921,"WALK",1154,2,"G","THROUGH","STEEL","MEDIUM","F","SUSPEN"
"M","11",1894,"HIGHWAY",1040,2,"G","THROUGH","IRON","MEDIUM","F","SIMPLE-T"
"M","13",1901,"RR",1620,2,"G","THROUGH","STEEL","LONG","F","SIMPLE-T"
"O","42",1931,"HIGHWAY",1450,4,"N","THROUGH","STEEL","LONG","F","ARCH"
"M","3",1884,"HIGHWAY",1000,2,"G","THROUGH","STEEL","MEDIUM","S","ARCH"
"A","24",1915,"HIGHWAY",1000,4,"G","THROUGH","STEEL","LONG","F","SIMPLE-T"
"M","2",1904,"RR",1504,2,"G","THROUGH","STEEL","LONG","F","CANTILEV"
"M","1",1959,"HIGHWAY",1000,6,"G","THROUGH","STEEL","LONG","F","ARCH"
"A","38",1927,"HIGHWAY",1508,4,"G","THROUGH","STEEL","MEDIUM","S","ARCH"
"M","6",1856,"HIGHWAY",1200,2,"N","THROUGH","WOOD","MEDIUM","S","WOOD"
"M","4",1863,"RR",1000,2,"N","THROUGH","IRON","MEDIUM","S","SIMPLE-T"
"M","21",1903,"RR",1154,2,"G","THROUGH","STEEL","LONG","F","SIMPLE-T"
"M","17",1928,"HIGHWAY",2250,2,"G","THROUGH","STEEL","MEDIUM","S","SIMPLE-T"
"M","22",1951,"HIGHWAY",900,4,"G","THROUGH","STEEL","MEDIUM","F","CONT-T"
"A","33",1900,"HIGHWAY",1200,2,"G","THROUGH","STEEL","MEDIUM","F","SIMPLE-T"
"A","38",1900,"HIGHWAY",2000,2,"G","THROUGH","STEEL","MEDIUM","F","SIMPLE-T"
"A","39",1848,"AQUEDUCT",1000,1,"N","DECK","WOOD","MEDIUM","S","WOOD"
"Y","52",1945,"HIGHWAY",1508,2,"G","THROUGH","STEEL","MEDIUM","S","ARCH"
"A","32",1870,"HIGHWAY",1000,2,"N","THROUGH","WOOD","MEDIUM","S","WOOD"
