"surgery","Age","rectal_temperature","pulse","respiratory_rate","temp_extremities","peripheral_pulse","mucous_membranes","capillary_refill_time","pain","peristalsis","abdominal_distension","nasogastric_tube","nasogastric_reflux","rectal_examination","abdomen","packed_cell_volume","total_protein","outcome","surgical_lesion"
"no","adult",38.2,42,16,"normal","normal","pale pink","<3","alert no pain","hypomotile","none","none","none","normal","normal",35,60,"lived","no"
"no","adult",38.7,52,9,"normal","normal","normal pink","<3","alert no pain","hypomotile","none","none","none","normal","firm feces in large intestine",4,74,"lived","no"
"yes","adult",36.6,48,16,"cool","normal","pale pink","<3","intermittent severe pain","hypermotile","none","none","none","normal","distended large intestine",27,56,"euthanized","yes"
"no","young",39,150,72,"normal","normal","pale cyanotic","<3","depressed","hypermotile","slight","none",">1l","absent","normal",47,8.5,"lived","yes"
"yes","adult",37.8,70,16,"cool","absent","bright red",">=3","depressed","hypomotile","slight","slight","none","absent","distended large intestine",60,7.5,"died","yes"
"no","adult",39.4,110,35,"cold","reduced","dark cyanotic",">=3","intermittent mild pain","hypomotile","moderate","none","<1l","absent","distended small intestine",55,8.7,"lived","no"
"yes","adult",37.8,120,60,"cool","absent","pale cyanotic","<3","intermittent severe pain","absent","severe","none","none","increased","distended large intestine",52,67,"euthanized","yes"
"no","adult",38,48,12,"normal","normal","normal pink","<3","alert no pain","hypomotile","none","none","none","decreased","other",42,6.3,"lived","no"
"yes","adult",39.4,54,66,"normal","normal","bright pink","<3","depressed","hypomotile","slight","none","none","decreased","distended small intestine",39,6,"lived","yes"
"yes","young",39.2,146,96,"cold","reduced","pale cyanotic",">=3","depressed","absent","severe","slight","none","decreased","distended small intestine",72,6.4,"died","yes"
"no","adult",39,86,16,"cool","reduced","bright red","<3","intermittent mild pain","hypomotile","moderate","none",">1l","absent","distended large intestine",68,5.8,"died","yes"
"yes","adult",38.1,60,12,"cool","reduced","pale pink","<3","intermittent mild pain","absent","moderate","significant",">1l","absent","distended small intestine",51,65,"lived","yes"
"yes","adult",38.1,88,24,"cool","reduced","pale cyanotic","<3","continuous severe pain","absent","moderate","slight","none","decreased","distended small intestine",41,4.6,"died","yes"
"no","adult",38.5,96,36,"cool","reduced","bright red",">=3","depressed","absent","slight","none",">1l","absent","distended large intestine",70,8.5,"died","yes"
"no","adult",38.6,52,24,"normal","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","none","none","normal","firm feces in large intestine",32,6.6,"lived","no"
"yes","adult",37.5,72,30,"cold","reduced","pale cyanotic","<3","intermittent severe pain","absent","moderate","slight","none","decreased","distended large intestine",60,6.8,"died","yes"
"no","adult",38.2,56,40,"cold","reduced","normal pink","<3","depressed","absent","moderate","slight",">1l","absent","distended large intestine",47,7.2,"lived","no"
"no","adult",37.4,40,12,"normal","normal","bright pink","<3","depressed","hypermotile","slight","significant","none","normal","firm feces in large intestine",44,7.5,"lived","no"
"no","young",38,92,28,"normal","normal","bright pink","<3","alert no pain","hypomotile","slight","significant","none","normal","normal",37,6.1,"died","no"
"yes","adult",38.4,49,42,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","decreased","distended small intestine",44,7.6,"lived","yes"
"yes","adult",35.4,140,24,"cool","reduced","pale cyanotic",">=3","intermittent severe pain","absent","moderate","slight","none","absent","distended large intestine",57,69,"euthanized","yes"
"no","adult",38.4,48,16,"normal","normal","normal pink","<3","alert no pain","hypomotile","none","slight","<1l","absent","firm feces in large intestine",49,6.8,"lived","no"
"no","adult",38.5,100,26,"cool","reduced","bright red",">=3","intermittent severe pain","hypomotile","severe","slight","none","absent","distended large intestine",60,5.5,"euthanized","no"
"yes","young",38.5,120,70,"normal","reduced","pale pink","<3","alert no pain","hypermotile","slight","slight","none","normal","normal",35,54,"lived","yes"
"yes","adult",38.2,48,18,"normal","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","none",">1l","absent","distended large intestine",48,74,"lived","yes"
"yes","young",38,140,68,"normal","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","significant","<1l","increased","normal",39,5.3,"lived","yes"
"yes","adult",37.5,80,12,"cool","reduced","pale pink","<3","intermittent severe pain","absent","severe","slight",">1l","absent","distended large intestine",43,70,"lived","yes"
"yes","adult",38.3,80,48,"cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","moderate","slight","none","absent","distended small intestine",45,7.5,"lived","yes"
"no","adult",38.3,40,16,"cool","normal","normal pink","<3","depressed","hypomotile","slight","none",">1l","decreased","other",37,57,"lived","no"
"yes","adult",37.2,42,12,"warm","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","significant","none","absent","distended large intestine",32,7,"lived","no"
"yes","adult",38.5,120,70,"cold","reduced","pale cyanotic",">=3","depressed","absent","moderate","none","none","decreased","distended large intestine",55,65,"euthanized","no"
"yes","young",38.2,78,60,"cold","absent","dark cyanotic","<3","intermittent mild pain","hypomotile","moderate","none",">1l","normal","normal",59,5.8,"died","yes"
"yes","adult",37.3,44,12,"warm","increased","pale pink","<3","intermittent severe pain","absent","slight","significant","<1l","normal","distended large intestine",39,67,"lived","yes"
"no","adult",37.8,40,16,"normal","normal","normal pink","<3","alert no pain","hypermotile","none","slight","<1l","normal","normal",37,6.8,"lived","no"
"yes","young",38.4,84,40,"cool","reduced","bright pink","<3","intermittent mild pain","hypomotile","moderate","none","none","normal","other",36,6.6,"died","yes"
"yes","adult",38,100,24,"cool","reduced","dark cyanotic",">=3","continuous severe pain","absent","severe","none","none","absent","distended large intestine",68,7.8,"died","yes"
"yes","adult",38.3,50,36,"warm","normal","pale pink","<3","continuous severe pain","absent","moderate","none","none","normal","distended small intestine",49,7.2,"died","no"
"yes","adult",38.1,44,9,"cool","normal","normal pink","<3","depressed","normal","none","none","none","absent","distended large intestine",31,7.3,"lived","no"
"no","adult",36.6,42,18,"cool","reduced","bright pink","<3","alert no pain","absent","none","none","none","increased","distended large intestine",52,7.1,"died","yes"
"yes","adult",39.2,88,58,"cold","absent","pale pink",">=3","continuous severe pain","absent","moderate","none","none","normal","distended large intestine",38,75,"euthanized","no"
"no","adult",37.3,50,32,"normal","normal","pale pink","<3","alert no pain","hypomotile","slight","slight","none","normal","normal",44,7,"lived","no"
"yes","adult",37,56,24,"cool","normal","pale cyanotic",">=3","intermittent severe pain","absent","moderate","none","none","absent","distended large intestine",35,61,"euthanized","no"
"yes","adult",37.2,60,20,"warm","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","slight","none","absent","distended large intestine",43,6.6,"lived","yes"
"no","adult",38.1,44,40,"warm","normal","pale pink","<3","intermittent mild pain","hypomotile","none","none","none","normal","firm feces in large intestine",35,6.8,"lived","no"
"yes","adult",38.3,132,35,"cool","reduced","dark cyanotic",">=3","depressed","absent","slight","slight","<1l","absent","distended small intestine",57,8,"lived","yes"
"no","adult",37.8,82,12,"cool","normal","normal pink",">=3","intermittent severe pain","absent","moderate","none","<1l","decreased","distended small intestine",50,7,"euthanized","yes"
"yes","adult",38.7,60,20,"cold","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","none","none","absent","distended large intestine",52,65,"euthanized","yes"
"yes","adult",37.1,84,40,"cool","reduced","dark cyanotic","<3","depressed","absent","severe","significant",">1l","absent","distended large intestine",75,81,"euthanized","no"
"no","adult",39.5,140,51,"cool","reduced","pale cyanotic",">=3","intermittent mild pain","absent","moderate","slight","<1l","absent","distended large intestine",67,6.7,"euthanized","yes"
"yes","adult",38.3,52,96,"cool","reduced","pale pink","<3","intermittent severe pain","hypomotile","none","none","none","normal","distended small intestine",43,6.1,"lived","yes"
"no","adult",38.2,130,16,"cold","reduced","pale cyanotic",">=3","depressed","absent","severe","none","none","absent","distended large intestine",65,82,"euthanized","no"
"yes","adult",37.7,66,12,"normal","normal","pale pink","<3","intermittent mild pain","hypomotile","slight","slight","<1l","absent","distended small intestine",31.5,6.2,"lived","yes"
"yes","adult",37.5,88,20,"warm","reduced","pale pink","<3","intermittent severe pain","hypomotile","moderate","slight",">1l","absent","distended large intestine",35,6.4,"died","yes"
"no","adult",38.6,46,36,"normal","normal","bright pink","<3","alert no pain","hypomotile","slight","none","none","normal","other",49,9.1,"lived","no"
"no","adult",37.8,48,12,"warm","normal","bright pink","<3","intermittent mild pain","normal","none","slight","<1l","increased","other",48,7.3,"lived","no"
"yes","adult",38.6,48,20,"cool","normal","normal pink","<3","intermittent severe pain","hypomotile","none","slight","none","decreased","firm feces in large intestine",37,75,"lived","yes"
"yes","adult",38,48,16,"normal","normal","normal pink","<3","alert no pain","normal","severe","slight",">1l","absent","distended large intestine",33,64,"lived","yes"
"yes","adult",38,60,12,"normal","normal","bright pink","<3","depressed","hypermotile","none","none","none","normal","distended small intestine",44,65,"euthanized","yes"
"no","adult",40,78,12,"cool","reduced","bright red","<3","depressed","hypomotile","none","none","none","absent","normal",66,6.5,"died","yes"
"yes","adult",38.3,120,18,"cold","reduced","dark cyanotic",">=3","continuous severe pain","absent","severe","none","none","absent","distended large intestine",57,4.5,"died","yes"
"no","adult",38.5,54,12,"normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","normal","normal",40,6.8,"lived","no"
"yes","adult",38,65,24,"cool","reduced","dark cyanotic",">=3","continuous severe pain","absent","severe","significant","none","decreased","distended large intestine",47,71,"euthanized","yes"
"no","adult",37.5,48,16,"normal","normal","normal pink","<3","alert no pain","hypermotile","none","none","none","normal","normal",37,6.5,"lived","no"
"no","adult",37.2,36,9,"normal","normal","normal pink","<3","depressed","hypomotile","none","slight","none","absent","normal",35,5.7,"lived","no"
"yes","young",38.3,130,60,"warm","reduced","normal pink","<3","depressed","absent","severe","slight","<1l","decreased","distended small intestine",50,70,"lived","yes"
"yes","adult",38.4,84,30,"cool","normal","bright red",">=3","intermittent severe pain","hypomotile","moderate","slight","<1l","absent","distended small intestine",47,7.5,"died","yes"
"yes","adult",37.6,45,12,"cool","normal","pale pink","<3","depressed","normal","slight","slight","none","normal","distended small intestine",39,7,"lived","yes"
"yes","adult",38.8,50,14,"normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","none","none","decreased","distended large intestine",38,58,"lived","yes"
"no","adult",39.5,60,10,"cool","reduced","pale pink",">=3","intermittent mild pain","hypomotile","slight","slight","none","decreased","other",38,56,"lived","no"
"no","adult",38,60,12,"cool","normal","pale pink","<3","intermittent mild pain","hypomotile","none","none","none","increased","other",47,7,"lived","no"
"no","adult",38.5,66,28,"cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","none","none","decreased","distended large intestine",45,8.4,"died","no"
"no","adult",39,84,12,"cool","normal","bright red","<3","depressed","absent","slight","none",">1l","decreased","distended small intestine",62,5.9,"died","yes"
"no","adult",38.7,52,20,"warm","normal","normal pink","<3","alert no pain","hypermotile","none","none","none","normal","normal",33,77,"lived","no"
"no","adult",38,68,40,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","none","<1l","absent","distended large intestine",45,70,"lived","no"
"yes","adult",38.5,30,18,"warm","normal","normal pink","<3","intermittent mild pain","normal","slight","none","none","increased","distended small intestine",40,7.7,"lived","yes"
"no","adult",37.8,48,32,"normal","normal","pale pink","<3","depressed","hypermotile","slight","none","none","absent","distended large intestine",37,6.7,"lived","no"
"no","adult",38,54,30,"warm","reduced","pale pink","meaning unknown","intermittent mild pain","hypermotile","slight","slight",">1l","absent","distended small intestine",45,6.2,"lived","no"
"yes","adult",38.1,140,12,"cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","none","none","decreased","distended large intestine",30,69,"died","no"
"yes","adult",38.9,80,44,"cool","reduced","pale pink",">=3","depressed","hypomotile","moderate","slight",">1l","decreased","normal",54,6.5,"died","yes"
"yes","adult",38.2,52,16,"normal","normal","bright pink","<3","alert no pain","normal","none","none","none","normal","other",43,8.1,"lived","no"
"no","adult",38,96,20,"cool","reduced","pale pink",">=3","continuous severe pain","absent","severe","slight","none","absent","distended large intestine",60,6.8,"died","yes"
"yes","adult",37.6,68,32,"cool","reduced","pale pink","<3","intermittent severe pain","normal","severe","slight",">1l","normal","distended large intestine",47,7.2,"lived","yes"
"no","adult",36.1,88,32,"cool","reduced","pale pink","<3","intermittent mild pain","hypomotile","slight","slight","<1l","decreased","distended small intestine",45,7,"euthanized","yes"
"yes","adult",38.1,40,36,"normal","increased","bright pink","<3","depressed","normal","none","significant","none","decreased","distended large intestine",43,53,"euthanized","yes"
"yes","adult",38,100,28,"cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","slight",">1l","increased","distended small intestine",59,6.3,"died","yes"
"yes","adult",38.3,48,96,"normal","normal","pale pink","<3","depressed","absent","none","slight","none","normal","distended small intestine",42,8,"lived","yes"
"no","adult",38.3,45,20,"cool","reduced","bright pink",">=3","depressed","absent","none","slight",">1l","absent","other",38,8.5,"lived","no"
"yes","adult",37.5,78,24,"cool","reduced","pale pink","<3","depressed","hypomotile","slight","slight","none","decreased","distended small intestine",43,62,"euthanized","no"
"no","adult",38.2,40,24,"normal","normal","pale pink","<3","alert no pain","hypomotile","none","slight","none","increased","other",43,7.7,"lived","no"
"no","adult",38.4,52,20,"warm","normal","pale pink","<3","alert no pain","hypomotile","slight","slight","none","decreased","distended large intestine",41,63,"lived","no"
"yes","adult",39,64,36,"cool","normal","pale cyanotic",">=3","intermittent mild pain","hypomotile","slight","none",">1l","absent","distended large intestine",44,7.5,"lived","yes"
"no","adult",38,56,44,"cool","reduced","pale pink","<3","alert no pain","hypermotile","none","slight","none","absent","normal",47,70,"lived","no"
"no","adult",38.5,40,16,"normal","normal","normal pink","<3","depressed","hypermotile","none","none","none","decreased","other",37,67,"lived","no"
"no","adult",37.8,60,16,"normal","normal","pale pink","<3","depressed","hypomotile","slight","none",">1l","decreased","firm feces in large intestine",41,73,"euthanized","no"
"yes","adult",38.2,64,24,"normal","normal","pale pink","<3","intermittent severe pain","absent","moderate","slight","none","absent","distended small intestine",45,7.5,"died","yes"
"no","adult",38.2,48,32,"warm","normal","normal pink",">=3","intermittent mild pain","hypomotile","none","slight","none","normal","other",34,6.6,"lived","no"
"yes","adult",37.6,38,20,"cool","reduced","normal pink","<3","intermittent mild pain","hypomotile","slight","slight","none","decreased","distended large intestine",37,68,"lived","yes"
"yes","adult",38,76,18,"normal","increased","pale cyanotic",">=3","intermittent mild pain","absent","none","slight","none","absent","other",71,11,"lived","yes"
"yes","adult",38.1,88,32,"cool","reduced","pale cyanotic","<3","depressed","hypomotile","moderate","slight","<1l","absent","distended large intestine",55,60,"euthanized","no"
"yes","adult",38.1,60,48,"cool","reduced","pale cyanotic",">=3","intermittent severe pain","hypomotile","severe","slight","<1l","absent","distended small intestine",58,7.6,"died","yes"
"yes","adult",37.6,64,21,"normal","normal","bright pink","<3","depressed","hypomotile","none","none","none","increased","distended large intestine",40,7,"lived","yes"
"yes","young",38,128,36,"cool","reduced","pale cyanotic",">=3","intermittent severe pain","absent","moderate","significant","<1l","absent","distended large intestine",53,7.8,"died","no"
"yes","adult",38.3,42,24,"cool","reduced","bright red","<3","depressed","hypomotile","none","slight","<1l","decreased","firm feces in large intestine",40,8.5,"died","yes"
"yes","adult",37.5,48,40,"normal","normal","normal pink","<3","continuous severe pain","normal","slight","none","none","normal","distended large intestine",41,55,"euthanized","yes"
"no","adult",37.7,96,30,"cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","significant",">1l","absent","distended large intestine",66,7.5,"died","yes"
"yes","adult",37.9,120,60,"cool","reduced","pale pink","<3","continuous severe pain","absent","severe","slight",">1l","absent","distended large intestine",52,6.6,"died","yes"
"no","adult",37.7,44,40,"warm","normal","pale pink","<3","alert no pain","hypomotile","slight","none","none","normal","distended large intestine",41,60,"lived","no"
"yes","adult",38.2,104,16,"cool","reduced","bright red",">=3","depressed","absent","moderate","slight","<1l","absent","distended small intestine",69,8.6,"died","yes"
"yes","adult",38.2,48,24,"normal","reduced","pale pink","<3","intermittent mild pain","absent","severe","none","<1l","absent","distended large intestine",42,71,"lived","yes"
"no","adult",38.2,42,26,"normal","normal","normal pink","<3","intermittent mild pain","hypermotile","slight","none","none","normal","other",36,6.9,"lived","no"
"yes","young",37.9,128,20,"cold","increased","bright pink","<3","alert no pain","absent","moderate","significant","none","normal","other",37,4.9,"died","yes"
"yes","adult",37.6,96,48,"cool","normal","pale cyanotic","<3","continuous severe pain","hypomotile","moderate","slight","<1l","absent","distended small intestine",45,6.8,"died","yes"
"yes","adult",37.6,40,12,"normal","normal","normal pink","<3","alert no pain","hypermotile","none","slight","none","normal","normal",36,75,"lived","yes"
"no","adult",38.7,80,36,"cool","absent","pale pink","<3","intermittent severe pain","absent","severe","slight","none","decreased","distended large intestine",38,6.2,"euthanized","yes"
"no","adult",37.2,84,48,"cool","reduced","bright red",">=3","intermittent severe pain","hypermotile","slight","none",">1l","increased","normal",73,5.5,"died","no"
"no","adult",40.3,114,36,"cool","reduced","normal pink",">=3","depressed","hypomotile","moderate","slight","none","normal","distended large intestine",57,8.1,"died","yes"
"yes","adult",38.3,80,40,"cool","reduced","dark cyanotic",">=3","intermittent severe pain","hypomotile","none","none",">1l","normal","distended small intestine",67,10.2,"euthanized","yes"
"yes","adult",39.3,84,44,"cold","reduced","dark cyanotic",">=3","intermittent severe pain","absent","slight","none","<1l","absent","distended small intestine",75,6.4,"died","yes"
"no","adult",38.6,45,16,"warm","normal","bright pink","<3","alert no pain","hypermotile","none","none","none","normal","normal",43,58,"lived","no"
"yes","adult",38.5,96,30,"warm","reduced","pale cyanotic",">=3","intermittent severe pain","absent","moderate","slight","none","decreased","distended large intestine",50,65,"lived","yes"
"no","adult",36,100,20,"cold","reduced","dark cyanotic",">=3","depressed","absent","moderate","none","none","absent","distended large intestine",74,5.7,"euthanized","yes"
"no","adult",38,42,12,"cool","reduced","pale pink","<3","alert no pain","hypermotile","none","slight",">1l","normal","normal",37,5.8,"lived","no"
"yes","adult",39,112,13,"cold","absent","pale cyanotic","<3","depressed","hypomotile","none","slight","none","absent","distended small intestine",60,6.3,"lived","yes"
"yes","adult",37.6,82,72,"cool","normal","pale cyanotic","<3","depressed","hypomotile","moderate","slight","<1l","absent","distended small intestine",53,65,"euthanized","yes"
"yes","adult",37,66,20,"normal","reduced","bright pink","<3","intermittent severe pain","hypomotile","moderate","none","none","normal","distended large intestine",35,6.9,"died","yes"
"no","adult",38,60,32,"normal","normal","pale cyanotic","<3","intermittent mild pain","hypomotile","slight","none","none","absent","distended large intestine",50,7,"lived","no"
"yes","adult",38,42,68,"cold","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","slight",">1l","absent","distended small intestine",41,7.6,"lived","yes"
"no","adult",37.4,54,18,"cool","increased","normal pink","<3","intermittent mild pain","absent","moderate","slight",">1l","absent","distended large intestine",30,7.1,"lived","yes"
"yes","adult",37.7,120,28,"cool","reduced","pale pink","<3","continuous severe pain","hypomotile","moderate","none","none","normal","distended small intestine",65,7,"died","yes"
"yes","adult",38.1,52,24,"normal","normal","bright red","<3","intermittent severe pain","hypomotile","none","slight","<1l","normal","firm feces in large intestine",54,7.5,"died","yes"
"yes","adult",38.2,76,28,"cool","normal","normal pink","<3","intermittent mild pain","absent","none","slight",">1l","absent","distended small intestine",46,81,"lived","yes"
"yes","adult",38.7,96,28,"cool","reduced","pale cyanotic","<3","continuous severe pain","absent","severe","slight","<1l","absent","distended small intestine",64,9,"died","yes"
"yes","adult",37.5,72,14,"warm","normal","normal pink","<3","depressed","hypermotile","none","none","none","normal","distended small intestine",35,65,"euthanized","yes"
"no","adult",37.9,88,24,"normal","normal","bright pink","<3","depressed","normal","none","slight","none","absent","normal",37,56,"lived","no"
"yes","adult",37.3,48,12,"normal","normal","pale pink","<3","intermittent mild pain","hypermotile","moderate","slight","none","decreased","firm feces in large intestine",40,6.6,"lived","yes"
"no","adult",38.5,54,20,"cool","normal","bright pink",">=3","intermittent mild pain","absent","none","slight",">1l","absent","other",42,6.3,"lived","no"
"no","adult",38.6,68,20,"warm","normal","pale pink","<3","intermittent mild pain","hypomotile","slight","none","none","normal","distended large intestine",38,6.5,"lived","no"
"yes","adult",38.7,60,20,"cool","normal","pale pink","<3","continuous severe pain","absent","slight","slight","none","absent","distended large intestine",33,6.5,"lived","yes"
"yes","adult",38,48,20,"cool","normal","pale pink","<3","intermittent severe pain","hypomotile","none","slight","none","decreased","distended large intestine",43,73,"died","yes"
"yes","adult",37.5,88,40,"cool","reduced","dark cyanotic",">=3","continuous severe pain","hypomotile","moderate","none","<1l","absent","distended large intestine",63,6.5,"died","yes"
"no","adult",38.2,42,20,"cool","normal","normal pink","<3","alert no pain","hypermotile","slight","slight","none","decreased","other",35,5.9,"lived","no"
"no","adult",38,42,40,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","normal","normal",43,7.1,"lived","no"
"yes","adult",38,44,12,"normal","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","slight","none","absent","distended large intestine",42,65,"lived","yes"
"yes","adult",37.8,48,28,"normal","normal","normal pink","<3","alert no pain","normal","none","slight","none","normal","normal",46,5.9,"lived","no"
"no","adult",37,104,24,"cold","reduced","pale pink",">=3","intermittent severe pain","absent","moderate","slight","<1l","absent","other",73,8.4,"euthanized","yes"
"yes","adult",38.2,42,20,"warm","normal","normal pink","<3","intermittent mild pain","hypomotile","none","significant","none","decreased","distended small intestine",47,60,"lived","no"
"yes","adult",36.4,60,16,"cool","reduced","pale cyanotic","<3","continuous severe pain","hypomotile","severe","slight","none","absent","distended large intestine",45,8.7,"died","yes"
"no","adult",38.6,52,20,"normal","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","none","none","normal","firm feces in large intestine",36,6.6,"lived","no"
"no","adult",37.2,72,24,"cool","increased","pale cyanotic",">=3","intermittent severe pain","hypomotile","moderate","significant","none","absent","distended small intestine",44,65,"euthanized","yes"
"yes","adult",38.9,80,44,"cool","reduced","pale pink","<3","depressed","hypomotile","moderate","slight",">1l","decreased","normal",54,6.5,"died","yes"
"no","adult",37.5,52,12,"normal","normal","normal pink","<3","depressed","hypomotile","slight","slight","none","decreased","distended large intestine",36,61,"lived","no"
"yes","adult",38.8,70,36,"normal","normal","pale pink",">=3","depressed","hypomotile","slight","slight","none","absent","distended large intestine",36,7.3,"lived","yes"
"no","adult",38.2,68,32,"warm","increased","bright pink","<3","alert no pain","hypermotile","none","significant","none","normal","normal",43,65,"lived","no"
"no","adult",37.3,40,16,"warm","reduced","pale pink","<3","intermittent severe pain","hypermotile","none","slight","none","normal","distended small intestine",50,7,"euthanized","yes"
"yes","adult",39.2,80,23,"cool","normal","pale pink","<3","intermittent severe pain","absent","slight","slight",">1l","absent","distended large intestine",36,6.6,"lived","yes"
"no","adult",38.5,60,20,"normal","normal","bright red",">=3","depressed","normal","none","slight","none","increased","firm feces in large intestine",63,7.5,"euthanized","no"
"yes","adult",38,86,24,"cold","reduced","pale cyanotic","<3","depressed","absent","severe","none","none","absent","distended large intestine",45,5.5,"died","yes"
"yes","adult",37.4,100,30,"cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","significant","<1l","absent","distended small intestine",52,6.6,"lived","yes"
"yes","adult",37.5,96,18,"normal","reduced","dark cyanotic",">=3","intermittent mild pain","absent","slight","slight","<1l","absent","distended small intestine",69,8.9,"lived","yes"
"no","adult",37.7,48,40,"warm","normal","normal pink","<3","alert no pain","hypermotile","none","none","none","normal","normal",45,76,"lived","no"
"no","adult",38.8,50,20,"cool","normal","normal pink","<3","alert no pain","hypermotile","none","slight","none","decreased","normal",42,6.2,"lived","no"
"yes","adult",37.8,40,12,"normal","normal","normal pink","<3","alert no pain","normal","none","slight","none","normal","other",38,7,"lived","yes"
"yes","adult",38.2,72,18,"cool","normal","normal pink",">=3","intermittent mild pain","hypomotile","slight","slight","none","absent","distended large intestine",35,6.4,"lived","yes"
"yes","adult",39.1,60,10,"warm","normal","normal pink","<3","depressed","hypomotile","none","significant","none","absent","distended small intestine",42,6.6,"lived","yes"
"yes","adult",38,76,30,"cool","reduced","pale cyanotic",">=3","intermittent mild pain","absent","severe","none","none","decreased","distended large intestine",50,46,"euthanized","yes"
"yes","adult",38,66,20,"normal","reduced","pale pink","<3","continuous severe pain","hypomotile","none","none","none","decreased","distended large intestine",46,46,"euthanized","yes"
"no","adult",38,44,24,"normal","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","normal",44,6.3,"lived","no"
