"Style","Price","Rating","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern","Class"
"casual","average",4.8,"m","winter","o-neck","short","natural","lycra","broadcloth","applique","patchwork","1"
"sexy","low",4.6,"m","summer","o-neck","sleevless","empire","cotton","chiffon","ruffles","animal","2"
"casual","low",4.7,"l","summer","o-neck","full","natural","mix","worsted","lace","patchwork","2"
"casual","low",4.4,"free","spring","v-neck","sleevless","natural","cotton","jersey","sashes","print","1"
"casual","low",4.7,"m","spring","o-neck","full","natural","polyster","chiffon","hollowout","solid","2"
"party","high",4.8,"m","summer","sweetheart","sleevless","princess","nylon","sattin","applique","animal","2"
"cute","average",4.3,"l","winter","o-neck","sleevless","natural","cashmere","chiffon","beading","solid","1"
"casual","low",5,"s","spring","o-neck","sleevless","natural","chiffonfabric","chiffon","ruffles","print","1"
"work","average",5,"free","winter","o-neck","half","empire","microfiber","worsted","applique","animal","1"
"cute","high",4,"m","spring","v-neck","full","natural","rayon","chiffon","applique","solid","2"
"casual","low",4.9,"l","summer","boat-neck","short","empire","cotton","chiffon","sequined","patchwork","2"
"bohemian","low",5,"free","spring","o-neck","short","natural","nylon","jersey","sashes","print","2"
"sexy","low",4.3,"free","summer","o-neck","full","empire","cotton","chiffon","lace","solid","1"
"casual","average",4.7,"m","summer","o-neck","thressqatar","empire","chiffonfabric","chiffon","ruched","solid","1"
"casual","low",4.8,"free","winter","bowneck","full","natural","polyster","chiffon","bow","solid","1"
"casual","very-high",4.6,"m","winter","o-neck","short","natural","cotton","chiffon","flowers","print","2"
"casual","low",4.7,"m","summer","o-neck","sleevless","empire","milksilk","chiffon","lace","solid","1"
"brief","low",4.6,"m","summer","o-neck","short","natural","cotton","chiffon","sashes","animal","1"
"sexy","average",4.7,"m","winter","v-neck","sleevless","natural","polyster","broadcloth","bow","patchwork","1"
"casual","low",4.6,"m","summer","o-neck","sleevless","natural","cotton","wollen","sashes","striped","1"
"vintage","average",4.9,"free","summer","o-neck","urndowncollor","empire","mix","wollen","feathers","print","1"
"vintage","average",4.7,"s","summer","turndowncollor","short","empire","cotton","chiffon","bow","animal","1"
"casual","average",4.7,"l","spring","v-neck","halfsleeve","natural","polyster","broadcloth","button","print","2"
"casual","average",4.7,"l","summer","o-neck","sleevless","natural","silk","chiffon","beading","solid","1"
"casual","low",4.6,"l","winter","o-neck","full","natural","cotton","chiffon","pearls","print","1"
"bohemian","average",4.7,"l","autumn","o-neck","sleevless","natural","cotton","chiffon","sashes","solid","1"
"casual","average",4.5,"m","summer","o-neck","full","natural","cotton","chiffon","lace","solid","1"
"work","average",5,"m","summer","o-neck","sleveless","natural","cotton","chiffon","lace","solid","2"
"casual","average",4.4,"m","spring","o-neck","halfsleeve","natural","cotton","chiffon","lace","patchwork","1"
"casual","average",5,"l","spring","o-neck","halfsleeve","natural","polyster","chiffon","hollowout","solid","2"
"bohemian","low",4.6,"free","winter","o-neck","sleevless","empire","polyster","broadcloth","hollowout","patchwork","2"
"casual","average",4.5,"free","summer","o-neck","short","natural","polyster","chiffon","button","solid","1"
"sexy","low",4,"s","autumn","o-neck","sleevless","empire","cotton","chiffon","feathers","solid","2"
"vintage","low",4,"free","summer","turndowncollor","short","natural","cotton","wollen","hollowout","solid","1"
"cute","average",5,"m","autumn","v-neck","sleevless","natural","cotton","chiffon","ruffles","solid","1"
"sexy","low",4,"free","winter","v-neck","sleevless","empire","cotton","chiffon","lace","solid","2"
"casual","average",5,"xl","winter","boat-neck","full","empire","cotton","chiffon","beading","geometric","2"
"casual","low",4.6,"free","summer","o-neck","full","natural","cotton","worsted","lace","solid","2"
"casual","average",5,"free","winter","v-neck","full","natural","chiffonfabric","chiffon","ruffles","print","1"
"cute","average",5,"m","summer","o-neck","short","natural","cotton","chiffon","sashes","print","1"
"brief","average",4.5,"m","winter","peterpan-collor","threequarter","natural","cotton","chiffon","sashes","patchwork","1"
"party","very-high",4.9,"m","spring","sweetheart","sleevless","natural","silk","chiffon","beading","solid","2"
"casual","average",4.6,"l","autumn","o-neck","sleevless","empire","polyster","chiffon","ruffles","solid","1"
"casual","average",4.5,"m","winter","v-neck","sleevless","natural","cotton","chiffon","button","striped","1"
"bohemian","average",5,"m","spring","slash-neck","sleevless","empire","polyster","chiffon","ruffles","solid","2"
"casual","low",4.4,"s","autumn","o-neck","sleevless","natural","polyster","batik","lace","solid","1"
"casual","low",4.3,"free","winter","boat-neck","full","natural","other","other","lace","solid","1"
"casual","average",4.8,"l","autumn","boat-neck","sleevless","natural","cotton","batik","sashes","solid","1"
"party","very-high",4.9,"m","spring","sweetheart","sleeevless","empire","polyster","chiffon","beading","solid","2"
"casual","low",4.7,"free","winter","o-neck","sleevless","natural","polyster","broadcloth","applique","print","2"
"casual","average",4.8,"l","winter","o-neck","short","natural","cotton","chiffon","pockets","solid","2"
"vintage","average",4,"free","summer","o-neck","sleevless","natural","cotton","worsted","applique","solid","1"
"vintage","medium",4.7,"s","winter","turndowncollor","halfsleeve","natural","cotton","broadcloth","applique","plaid","1"
"casual","low",4.7,"free","summer","o-neck","full","natural","cotton","chiffon","sequined","solid","2"
"vintage","average",4.5,"l","autumn","o-neck","sleevless","empire","cotton","worsted","applique","solid","1"
"casual","average",4.7,"m","summer","o-neck","sleevless","natural","polyster","worsted","lace","character","1"
"sexy","low",4.5,"free","summer","o-neck","sleevless","empire","cotton","chiffon","sashes","solid","2"
"casual","average",5,"free","summer","v-neck","sleevless","natural","modal","other","beading","patchwork","1"
"cute","average",4.3,"free","summer","boat-neck","sleevless","empire","nylon","broadcloth","hollowout","geometric","2"
"casual","average",4.4,"m","summer","o-neck","short","empire","mix","worsted","lace","patchwork","1"
"casual","low",4.6,"free","autumn","o-neck","full","natural","rayon","chiffon","lace","solid","2"
"casual","average",4.1,"l","winter","o-neck","sleevless","natural","polyster","batik","applique","solid","2"
"casual","low",4.4,"free","summer","v-neck","short","empire","cotton","corduroy","lace","solid","1"
"party","average",4.8,"l","autumn","sweetheart","sleevless","empire","silk","chiffon","pleat","print","2"
"casual","low",4.4,"l","summer","o-neck","sleevless","natural","cotton","chiffon","sequined","solid","1"
"casual","low",4.4,"free","spring","o-neck","sleevless","natural","polyster","chiffon","sashes","print","1"
"party","average",4.7,"m","spring","o-neck","halfsleeve","empire","silk","shiffon","applique","patchwork","1"
"casual","average",5,"m","winter","o-neck","sleevless","natural","cotton","chiffon","sashes","solid","2"
"cute","low",4.9,"m","autumn","o-neck","short","natural","chiffonfabric","chiffon","bow","dot","1"
"work","average",4.6,"m","spring","v-neck","full","natural","cotton","chiffon","sashes","striped","1"
"brief","average",5,"free","spring","v-neck","sleevless","natural","cotton","broadcloth","lace","solid","2"
"casual","low",4.6,"free","winter","boat-neck","full","natural","cotton","worsted","beading","patchwork","2"
"casual","medium",4.7,"m","spring","o-neck","sleevless","natural","cotton","broadcloth","bow","solid","2"
"casual","low",5,"free","winter","o-neck","full","natural","wool","chiffon","applique","solid","1"
"bohemian","average",4,"free","winter","o-neck","sleevless","natural","polyster","chiffon","ruffles","striped","1"
"casual","average",4.8,"free","summer","o-neck","sleevless","natural","cotton","broadcloth","lace","print","1"
"casual","average",4.5,"l","spring","o-neck","short","natural","cotton","chiffon","lace","patchwork","1"
"casual","low",4.6,"free","spring","v-neck","sleevless","natural","silk","chiffon","draped","solid","1"
"casual","medium",4.4,"l","winter","boat-neck","full","empire","cotton","chiffon","bow","solid","2"
"party","medium",4.7,"m","winter","o-neck","sleevless","empire","cotton","chiffon","button","solid","2"
"casual","average",4.9,"m","autumn","v-neck","sleevless","natural","polyster","batik","cascading","solid","2"
"sexy","low",5,"m","spring","v-neck","short","natural","polyster","satin","ruffles","solid","2"
"brief","average",4.9,"free","winter","o-neck","sleevless","natural","cotton","chiffon","none","solid","1"
"brief","average",4.9,"free","summer","slash-neck","sleevless","natural","cotton","chiffon","sashes","solid","1"
"casual","average",4.8,"l","autumn","o-neck","short","natural","cashmere","worsted","applique","print","1"
"casual","average",4.7,"m","autumn","o-neck","short","empire","polyster","chiffon","applique","print","1"
"cute","average",4,"m","winter","o-neck","short","natural","polyster","chiffon","sashes","solid","1"
"cute","average",4.5,"l","winter","v-neck","sleevless","natural","polyster","jersey","sashes","solid","2"
"sexy","average",4.2,"m","winter","v-neck","sleevless","natural","cotton","flannael","applique","solid","1"
"sexy","average",4.7,"m","spring","o-neck","sleevless","natural","cotton","chiffon","beading","solid","2"
"casual","low",4.7,"s","summer","o-neck","full","natural","cotton","jersey","lace","patchwork","1"
"casual","low",5,"m","summer","boat-neck","short","natural","cotton","chiffon","sashes","solid","1"
"casual","average",5,"free","spring","o-neck","short","natural","cotton","broadcloth","hollowout","plaid","1"
"sexy","average",4.6,"m","winter","o-neck","full","natural","polyster","chiffon","beading","patchwork","2"
"party","high",4.7,"m","spring","o-neck","threequarter","natural","shiffon","sattin","beading","print","1"
"sexy","low",4.8,"free","summer","slash-neck","sleevless","empire","silk","chiffon","lace","solid","1"
"casual","average",4.5,"m","winter","o-neck","sleevless","natural","polyster","chiffon","ruched","striped","1"
"sexy","low",4.3,"free","winter","v-neck","sleevless","natural","silk","worsted","lace","solid","2"
"sexy","low",4.7,"free","summer","turndowncollor","sleevless","natural","cotton","chiffon","pockets","solid","2"
"casual","low",5,"free","spring","bowneck","sleevless","natural","silk","chiffon","applique","print","1"
"cute","low",4.1,"free","spring","v-neck","sleevless","natural","silk","worsted","lace","patchwork","2"
"sexy","medium",5,"free","winter","o-neck","sleevless","natural","polyster","chiffon","sequined","solid","1"
"casual","average",4.6,"free","winter","v-neck","full","natural","cotton","flannel","beading","striped","1"
"casual","low",4.3,"l","summer","o-neck","sleevless","natural","cotton","jersey","none","print","1"
"party","very-high",4,"m","winter","o-neck","full","natural","cotton","chiffon","feathers","solid","2"
"casual","average",4.8,"l","winter","v-neck","short","empire","polyster","chiffon","ruffles","solid","1"
"party","high",4.5,"m","winter","o-neck","sleevless","natural","rayon","chiffon","applique","solid","2"
"work","average",4.7,"m","autumn","slash-neck","sleevless","natural","polyster","broadcloth","bow","patchwork","1"
"sexy","low",4.5,"free","summer","slash-neck","sleevless","empire","polyster","corduroy","sashes","solid","1"
"ol","medium",5,"m","winter","mandarin-collor","halfsleeve","natural","cotton","chiffon","sashes","solid","1"
"casual","average",4.1,"m","autumn","v-neck","full","natural","cotton","chiffon","sashes","solid","2"
"cute","low",4.9,"l","spring","o-neck","sleevless","empire","milksilk","chiffon","sashes","dot","2"
"casual","average",4.7,"m","winter","v-neck","sleevless","empire","polyster","chiffon","applique","print","1"
"casual","low",4.7,"l","autumn","o-neck","short","natural","polyster","shiffon","lace","patchwork","2"
"casual","low",4.7,"free","winter","o-neck","sleevless","natural","milksilk","chiffon","lace","animal","1"
"sexy","average",4.8,"free","winter","slash-neck","sleevless","natural","cotton","broadcloth","sequined","solid","2"
"sexy","low",4.2,"free","summer","v-neck","sleevless","dropped","cotton","worsted","applique","print","2"
"party","very-high",4.9,"m","spring","v-neck","sleevless","empire","cotton","sattin","beading","solid","2"
"casual","low",4.7,"s","winter","o-neck","sleeevless","natural","knitting","batik","lace","solid","1"
"cute","average",4.7,"l","summer","o-neck","sleevless","natural","polyster","broadcloth","lace","solid","1"
"sexy","high",5,"m","summer","v-neck","sleevless","natural","mix","worsted","sashes","striped","1"
"bohemian","low",4.6,"free","summer","o-neck","sleevless","natural","cotton","chiffon","none","solid","2"
"casual","average",4,"xl","winter","v-neck","short","empire","polyster","shiffon","pockets","solid","2"
"casual","average",4.8,"m","summer","o-neck","halfsleeve","natural","chiffonfabric","chiffon","sequined","print","1"
"sexy","low",4.7,"free","spring","v-neck","sleeveless","empire","cotton","chiffon","sequined","solid","2"
"casual","low",4.1,"l","winter","v-neck","full","empire","rayon","batik","applique","solid","1"
"cute","average",4.7,"l","summer","o-neck","sleevless","natural","cotton","worsted","none","print","1"
"casual","average",4.4,"m","winter","o-neck","full","natural","cotton","jersey","feathers","solid","2"
"party","average",4.7,"m","spring","v-neck","sleevless","natural","polyster","chiffon","hollowout","solid","1"
"casual","average",5,"m","spring","o-neck","sleevless","natural","silk","broadcloth","applique","print","1"
"casual","average",5,"m","spring","o-neck","thressqatar","empire","spandex","chiffon","sashes","solid","1"
"casual","average",4.3,"m","winter","slash-neck","sleeveless","natural","polyster","batik","sashes","solid","1"
"casual","low",4.7,"free","spring","o-neck","halfsleeve","natural","silk","chiffon","sashes","print","1"
"novelty","average",4.5,"s","winter","turndowncollor","full","natural","cotton","worsted","ruffles","patchwork","1"
"casual","average",4.2,"m","winter","v-neck","full","empire","polyster","worsted","lace","patchwork","2"
"party","very-high",4.8,"l","spring","sweetheart","sleevless","empire","microfiber","organza","beading","animal","2"
"sexy","average",5,"l","winter","o-neck","threequarter","natural","polyster","chiffon","lace","geometric","1"
"sexy","low",4.7,"m","winter","v-neck","sleevless","natural","polyster","worsted","beading","striped","1"
"brief","average",4.3,"m","spring","o-neck","full","natural","mix","worsted","sequined","patchwork","2"
"casual","average",4.7,"s","summer","v-neck","short","natural","cotton","chiffon","lace","dot","1"
"sexy","average",4.5,"m","summer","bowneck","sleevless","natural","cotton","chiffon","beading","solid","1"
"party","high",5,"m","winter","sweetheart","sleevless","natural","silk","chiffon","pearls","solid","1"
"fashion","average",4,"free","summer","open","full","empire","cotton","chiffon","sequined","solid","1"
"party","average",5,"m","winter","o-neck","capsleeves","empire","polyster","chiffon","lace","solid","2"
"casual","average",5,"l","winter","o-neck","thressqatar","natural","polyster","batik","applique","solid","1"
"casual","low",4.2,"l","summer","o-neck","petal","natural","microfiber","other","ruffles","animal","1"
"party","very-high",4.9,"l","spring","slash-neck","sleevless","natural","cotton","chiffon","flowers","solid","2"
"casual","low",5,"m","summer","v-neck","full","natural","acrylic","chiffon","lace","solid","1"
"sexy","low",4.8,"l","summer","o-neck","sleevless","natural","cotton","chiffon","tassel","solid","2"
"casual","average",5,"l","winter","open","short","natural","mix","poplin","applique","solid","2"
"sexy","average",4.7,"m","autumn","slash-neck","sleevless","natural","nylon","chiffon","rivet","solid","1"
"sexy","average",4.7,"s","autumn","slash-neck","short","natural","cotton","chiffon","lace","solid","1"
"casual","low",4.7,"free","spring","o-neck","sleevless","empire","cotton","chiffon","lace","floral","1"
"party","average",5,"free","summer","v-neck","sleevless","natural","cotton","chiffon","sashes","striped","1"
"sexy","low",4.8,"free","spring","v-neck","sleevless","natural","cotton","worsted","cascading","striped","2"
"sexy","low",4,"free","summer","v-neck","sleevless","empire","cotton","chiffon","lace","solid","1"
"vintage","average",4.7,"m","summer","v-neck","short","natural","rayon","chiffon","beading","print","1"
"casual","average",4.8,"m","winter","o-neck","threequarter","natural","shiffon","broadcloth","applique","print","2"
"casual","average",4.7,"l","winter","o-neck","sleevless","natural","polyster","chiffon","lace","patchwork","1"
"sexy","medium",4.6,"l","summer","o-neck","short","natural","spandex","jersey","lace","solid","1"
"party","very-high",5,"m","spring","v-neck","threequater","natural","lycra","sattin","applique","solid","2"
"sexy","low",5,"free","spring","o-neck","full","natural","cotton","worsted","lace","striped","1"
"casual","average",4.4,"m","summer","turndowncollor","sleevless","natural","chiffonfabric","chiffon","sashes","solid","1"
"casual","medium",4.5,"s","winter","o-neck","full","natural","polyster","chiffon","embroidary","patchwork","2"
"casual","average",5,"s","spring","turndowncollor","full","empire","cotton","worsted","sashes","solid","1"
"cute","low",5,"free","spring","v-neck","sleevless","empire","chiffonfabric","chiffon","sashes","animal","2"
"party","medium",4.5,"l","summer","peterpan-collor","full","empire","cotton","batik","applique","striped","2"
