"surgery","Age","temp_extremities","peripheral_pulse","mucous_membranes","capillary_refill_time","pain","peristalsis","abdominal_distension","nasogastric_tube","nasogastric_reflux","rectal_examination","abdomen","outcome","rectal_temperature","pulse","respiratory_rate","packed_cell_volume","total_protein","surgical_lesion"
"no","adult","normal","normal","bright red","<3","intermittent mild pain","hypomotile","slight","slight","none","decreased","firm feces in large intestine","lived",39,64,40,42,7.5,"no"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",0,0,0,0,0,"yes"
"no","adult","normal","normal","pale pink","<3","alert no pain","hypomotile","none","slight","none","normal","distended large intestine","lived",38.2,42,16,35,60,"no"
"no","adult","normal","normal","normal pink","<3","alert no pain","hypomotile","none","slight","none","normal","firm feces in large intestine","lived",38.7,52,14.9637871047399,4,74,"no"
"yes","adult","cool","normal","pale pink","<3","intermittent severe pain","hypermotile","none","none","none","absent","distended large intestine","euthanized",36.6,48,16,27,56,"yes"
"no","young","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",39,150,72,47,8.5,"yes"
"yes","adult","cool","absent","bright red",">=3","depressed","hypomotile","slight","slight","none","absent","distended large intestine","died",34.3102110360847,70,16,60,7.5,"yes"
"no","adult","cold","reduced","dark cyanotic","<3","intermittent mild pain","hypomotile","moderate","slight","none","absent","distended large intestine","lived",39.4,110,35,55,8.7,"no"
"yes","adult","cool","absent","pale cyanotic","<3","intermittent severe pain","absent","severe","none","none","absent","distended large intestine","euthanized",61.7875056679074,120,45.8509302553617,52,67,"yes"
"no","adult","normal","normal","normal pink","<3","alert no pain","hypomotile","none","none","none","decreased","other","lived",38,48,12,42,6.3,"no"
"yes","adult","normal","normal","bright pink","<3","depressed","hypomotile","slight","none","none","decreased","distended small intestine","lived",39.4,54,66,39,6,"yes"
"yes","young","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","died",39.2,146,96,67.0731880803784,-104.483409934638,"yes"
"no","adult","cool","reduced","bright red","<3","intermittent mild pain","hypomotile","moderate","slight",">1l","absent","distended large intestine","died",39,86,16,68,5.8,"yes"
"yes","adult","cool","reduced","pale pink","<3","intermittent mild pain","absent","moderate","significant",">1l","absent","distended large intestine","lived",38.1,60,12,51,65,"yes"
"yes","adult","cool","reduced","pale cyanotic","<3","continuous severe pain","absent","moderate","slight","none","decreased","distended small intestine","died",38.1,88,24,41,4.6,"yes"
"no","adult","cool","reduced","normal pink",">=3","depressed","absent","slight","none",">1l","absent","distended large intestine","died",38.5,96,36,70,8.5,"yes"
"no","adult","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","none","none","normal","firm feces in large intestine","lived",38.6,52,24.37268215179,32,6.6,"no"
"yes","adult","cold","reduced","pale cyanotic","<3","intermittent severe pain","absent","moderate","slight","none","decreased","distended large intestine","died",37.5,72,30,60,6.8,"yes"
"no","adult","cold","reduced","normal pink","<3","depressed","absent","moderate","slight",">1l","absent","distended large intestine","lived",38.2,56,40,47,7.2,"no"
"no","adult","normal","normal","bright pink","<3","depressed","hypermotile","slight","significant","none","normal","firm feces in large intestine","lived",27.5118386360779,58.2347076915649,12,44,7.5,"no"
"no","young","normal","normal","bright pink","<3","alert no pain","hypomotile","slight","significant","none","normal","normal","died",38,92,28,37,6.1,"no"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",38.4,49,25.1936365870213,44,7.6,"yes"
"yes","adult","cool","reduced","pale cyanotic",">=3","intermittent severe pain","absent","none","slight","none","absent","distended large intestine","euthanized",35.4,140,24,57,69,"yes"
"no","adult","normal","normal","normal pink","<3","alert no pain","hypomotile","none","slight","<1l","absent","firm feces in large intestine","lived",38.4,48,16,49,6.8,"no"
"no","adult","cool","reduced","bright red",">=3","intermittent severe pain","hypomotile","severe","slight","none","absent","distended large intestine","euthanized",38.5,100,43.5927767149371,51.7418609453978,-17.2071052478141,"no"
"yes","young","cool","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","normal","distended large intestine","lived",38.5,120,70,35,54,"yes"
"yes","adult","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","none",">1l","absent","distended large intestine","lived",38.2,48,18,48,74,"yes"
"yes","young","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","slight","none","increased","normal","lived",38,140,68,39,5.3,"yes"
"yes","adult","cool","reduced","pale pink","<3","intermittent severe pain","absent","severe","slight","none","absent","distended large intestine","lived",47.6258786587497,80,30.6238038684529,43,70,"yes"
"yes","adult","cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","moderate","slight","none","absent","distended small intestine","lived",38.3,80,34.6557976031386,45,7.5,"yes"
"no","adult","cool","normal","normal pink","<3","depressed","hypomotile","none","slight","none","absent","distended large intestine","lived",38.3,40,16,37,57,"no"
"yes","adult","warm","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","significant","none","absent","distended large intestine","lived",37.2,42,12,26.7876928519705,7,"no"
"yes","adult","cold","normal","pale cyanotic",">=3","depressed","absent","none","slight","none","absent","distended large intestine","euthanized",64.8027508400863,120,70,55,65,"no"
"yes","young","cold","absent","dark cyanotic","<3","intermittent mild pain","hypomotile","moderate","slight","none","normal","distended large intestine","died",38.2,78,60,59,5.8,"yes"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",0,0,0,0,0,"yes"
"no","adult","normal","normal","normal pink","<3","alert no pain","hypermotile","none","slight","none","normal","normal","lived",37.8,40,16,37,6.8,"no"
"yes","young","cool","reduced","bright pink","<3","intermittent mild pain","hypomotile","moderate","none","none","absent","distended large intestine","died",38.4,84,40,36,6.6,"yes"
"yes","adult","cool","reduced","dark cyanotic",">=3","continuous severe pain","hypomotile","severe","none","none","absent","distended large intestine","died",38,91.9130993346303,24,68,7.8,"yes"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","died",0,0,0,0,0,"no"
"yes","adult","cool","normal","normal pink","<3","depressed","normal","none","none","none","absent","distended large intestine","lived",38.1,44,9,31,7.3,"no"
"no","adult","cool","reduced","bright pink","<3","alert no pain","absent","none","none","none","absent","distended large intestine","died",36.6,42,18,52,7.1,"yes"
"yes","adult","cold","absent","normal pink",">=3","continuous severe pain","absent","none","slight","none","absent","distended large intestine","euthanized",39.2,88,58,49.3295310917516,-18.8278174677923,"no"
"no","adult","normal","normal","pale pink","<3","alert no pain","hypomotile","slight","slight","none","normal","distended large intestine","lived",37.3,50,32,44,7,"no"
"yes","adult","cool","normal","pale cyanotic",">=3","intermittent severe pain","absent","moderate","none","none","absent","distended large intestine","euthanized",37,56,24,35,61,"no"
"yes","adult","warm","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","slight","none","absent","distended large intestine","lived",37.2,60,28.286809763582,43,6.6,"yes"
"no","adult","warm","normal","pale pink","<3","intermittent mild pain","hypomotile","none","slight","none","normal","firm feces in large intestine","lived",38.1,44,40,35,6.8,"no"
"yes","adult","cool","reduced","dark cyanotic",">=3","depressed","absent","slight","slight","<1l","absent","distended small intestine","lived",38.3,132,52.0628408096258,57,8,"yes"
"no","adult","cool","normal","normal pink",">=3","intermittent severe pain","hypomotile","moderate","none","<1l","absent","distended large intestine","euthanized",37.8,82,12,50,7,"yes"
"yes","adult","cold","reduced","pale cyanotic",">=3","continuous severe pain","absent","none","slight","none","absent","distended large intestine","euthanized",23.1504282159568,60,20,30.1571318168821,-8.99280614271383,"yes"
"yes","adult","cool","reduced","dark cyanotic","<3","depressed","absent","severe","significant",">1l","absent","distended large intestine","euthanized",37.1,84,40,75,81,"no"
"no","adult","cool","reduced","pale cyanotic",">=3","intermittent mild pain","absent","moderate","slight","<1l","absent","distended large intestine","euthanized",39.5,82.2960193761729,35.5035988670623,46.4963413836083,6.7,"yes"
"yes","adult","cool","reduced","pale pink","<3","intermittent mild pain","hypomotile","none","none","none","normal","distended large intestine","lived",38.3,52,96,43,6.1,"yes"
"no","adult","cold","reduced","pale cyanotic",">=3","depressed","absent","severe","none","none","absent","distended large intestine","euthanized",38.2,130,16,65,82,"no"
"yes","adult","normal","normal","pale pink","<3","intermittent mild pain","hypomotile","slight","slight","none","absent","distended small intestine","lived",37.7,66,12,31.5,6.2,"yes"
"yes","adult","warm","reduced","pale pink","<3","intermittent severe pain","hypomotile","moderate","slight","none","absent","distended large intestine","died",37.5,88,20,35,6.4,"yes"
"no","adult","normal","normal","bright pink","<3","alert no pain","hypomotile","slight","none","none","absent","other","lived",38.6,46,24.9590939123432,49,9.1,"no"
"no","adult","warm","normal","bright pink","<3","intermittent mild pain","hypomotile","none","slight","none","increased","distended large intestine","lived",37.8,48,12,48,7.3,"no"
"yes","adult","cool","normal","normal pink","<3","intermittent severe pain","hypomotile","none","slight","none","decreased","distended large intestine","lived",38.6,48,20,37,75,"yes"
"yes","adult","normal","normal","normal pink","<3","alert no pain","normal","severe","slight",">1l","absent","distended large intestine","lived",38,48,20.6972820504969,35.8741052364673,46.6602278269215,"yes"
"yes","adult","normal","normal","bright pink","<3","depressed","hypermotile","none","none","none","normal","distended small intestine","euthanized",38,60,12,44,65,"yes"
"no","adult","cool","reduced","bright red","<3","depressed","hypomotile","none","none","none","absent","normal","died",40,78,37.513389679235,66,6.5,"yes"
"yes","adult","cold","reduced","dark cyanotic",">=3","continuous severe pain","absent","severe","slight","none","absent","distended large intestine","died",51.2521373158466,120,50.2000114811902,57,4.5,"yes"
"no","adult","normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","normal","distended large intestine","lived",38.5,54,26.1613896250517,40,6.8,"no"
"yes","adult","cool","normal","normal pink",">=3","continuous severe pain","hypomotile","severe","significant","none","absent","distended large intestine","euthanized",25.0430121179921,65,24,32.8152814833997,-11.5621714174451,"yes"
"no","adult","normal","normal","normal pink","<3","alert no pain","hypermotile","none","none","none","normal","distended large intestine","lived",37.5,48,16,37,6.5,"no"
"no","adult","normal","normal","normal pink","<3","depressed","hypomotile","none","slight","none","absent","normal","lived",37.2,36,9,35,5.7,"no"
"yes","young","cool","reduced","normal pink","<3","depressed","absent","none","slight","none","absent","distended large intestine","lived",38.3,130,60,50,70,"yes"
"yes","adult","cool","normal","bright red",">=3","intermittent severe pain","hypomotile","moderate","slight","<1l","absent","distended small intestine","died",38.4,84,30,47,7.5,"yes"
"yes","adult","cool","normal","pale pink","<3","intermittent mild pain","normal","slight","slight","none","normal","distended small intestine","lived",37.6,45,12,39,7,"yes"
"yes","adult","normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","none","none","decreased","distended large intestine","lived",38.8,50,14,38,58,"yes"
"no","adult","cool","normal","normal pink",">=3","intermittent mild pain","hypomotile","slight","slight","none","decreased","distended large intestine","lived",39.5,60,10,38,56,"no"
"no","adult","cool","normal","pale pink","<3","intermittent mild pain","hypomotile","none","none","none","increased","other","lived",38,60,12,47,7,"no"
"no","adult","cool","reduced","normal pink",">=3","continuous severe pain","absent","severe","slight","none","decreased","distended large intestine","died",38.5,66,28,45,8.4,"no"
"no","adult","cool","normal","bright red","<3","depressed","absent","slight","none",">1l","absent","distended small intestine","died",39,84,12,62,5.9,"yes"
"no","adult","warm","normal","normal pink","<3","alert no pain","hypermotile","none","none","none","normal","normal","lived",38.7,52,20,33,77,"no"
"no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","slight","none","absent","distended large intestine","lived",47.4316183523346,74.0138753755136,40,45,70,"no"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",38.5,30,18,40,7.7,"yes"
"no","adult","normal","normal","pale pink","<3","depressed","hypermotile","none","none","none","absent","distended large intestine","lived",37.8,48,32,37,6.7,"no"
"no","adult","warm","reduced","pale pink","meaning unknown","intermittent mild pain","hypermotile","slight","slight",">1l","absent","distended small intestine","lived",38,54,30,45,6.2,"no"
"yes","adult","cool","normal","pale cyanotic",">=3","continuous severe pain","absent","severe","none","none","absent","distended large intestine","died",63.9817814439631,140,48.6163873729286,30,69,"no"
"yes","adult","cool","reduced","pale pink",">=3","depressed","hypomotile","moderate","slight",">1l","decreased","normal","died",38.9,80,44,54,6.5,"yes"
"yes","adult","normal","normal","bright pink","<3","alert no pain","normal","none","none","none","normal","distended large intestine","lived",38.2,52,16,43,8.1,"no"
"no","adult","cool","reduced","pale pink",">=3","continuous severe pain","absent","severe","slight","none","absent","distended large intestine","died",46.3306072147408,96,41.9791492671005,60,16.7599515454186,"yes"
"yes","adult","cool","normal","pale pink","<3","intermittent severe pain","normal","severe","slight",">1l","normal","distended large intestine","lived",37.6,68,32,47,7.2,"yes"
"no","adult","cool","reduced","pale pink","<3","intermittent mild pain","hypomotile","slight","slight","<1l","absent","distended small intestine","euthanized",36.1,88,36.8471607769631,45,7,"yes"
"yes","adult","normal","increased","bright pink","<3","depressed","normal","none","slight","none","absent","distended large intestine","euthanized",38.1,40,36,34.4815231526389,40.5766751032487,"yes"
"yes","adult","cool","normal","pale cyanotic",">=3","continuous severe pain","absent","none","slight","none","increased","distended large intestine","died",45.5845482611311,100,43.71126809479,59,6.3,"yes"
"yes","adult","normal","normal","pale pink","<3","intermittent mild pain","absent","none","slight","none","normal","distended small intestine","lived",34.2048454130339,48,96,42,8,"yes"
"no","adult","cool","reduced","bright pink",">=3","depressed","absent","none","slight","none","absent","distended large intestine","lived",38.3,45,20,35.1772902597966,50.8082347349118,"no"
"yes","adult","cool","reduced","pale pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended small intestine","euthanized",44.7558355920249,78,24,43,62,"no"
"no","adult","normal","normal","pale pink","<3","alert no pain","hypomotile","none","slight","none","increased","other","lived",34.4470432633304,75.1016736602455,32.3685386297096,43,7.7,"no"
"no","adult","warm","normal","pale pink","<3","alert no pain","hypomotile","slight","slight","none","decreased","distended large intestine","lived",38.4,52,20,41,63,"no"
"yes","adult","cool","normal","pale cyanotic",">=3","intermittent mild pain","hypomotile","slight","none",">1l","absent","distended large intestine","lived",39,64,36,44,7.5,"yes"
"no","adult","cool","reduced","pale pink","<3","intermittent mild pain","hypermotile","none","slight","none","absent","distended large intestine","lived",38,56,44,47,70,"no"
"no","adult","normal","normal","normal pink","<3","depressed","hypermotile","none","slight","none","decreased","other","lived",38.5,40,16,37,67,"no"
"no","adult","normal","normal","pale pink","<3","depressed","hypomotile","slight","none",">1l","decreased","distended large intestine","euthanized",37.8,60,16,41,73,"no"
"yes","adult","normal","normal","pale pink","<3","intermittent severe pain","absent","moderate","slight","none","absent","distended small intestine","died",38.2,64,24,45,7.5,"yes"
"no","adult","warm","normal","normal pink",">=3","intermittent mild pain","hypomotile","none","slight","none","absent","other","lived",38.2,48,23.4289334048062,34,6.6,"no"
"yes","adult","cool","reduced","normal pink","<3","intermittent mild pain","hypomotile","slight","slight","none","decreased","distended large intestine","lived",37.6,38,20,37,68,"yes"
"yes","adult","cool","normal","normal pink",">=3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",38,76,18,71,11,"yes"
"yes","adult","cool","reduced","pale cyanotic","<3","depressed","hypomotile","moderate","slight","<1l","absent","distended large intestine","euthanized",38.1,88,32,55,60,"no"
"yes","adult","cool","reduced","pale cyanotic",">=3","intermittent severe pain","hypomotile","severe","slight","none","absent","distended large intestine","died",34.890242134656,60,48,58,7.6,"yes"
"yes","adult","normal","normal","bright pink","<3","depressed","hypomotile","none","none","none","increased","distended large intestine","lived",37.6,64,21,40,7,"yes"
"yes","young","cool","reduced","pale cyanotic",">=3","intermittent severe pain","absent","moderate","significant","none","absent","distended large intestine","died",51.7161965431312,128,36,53,7.8,"no"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","died",38.3,42,24,40,8.5,"yes"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","none","none","absent","distended large intestine","euthanized",37.5,48,40,41,55,"yes"
"no","adult","cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","significant",">1l","absent","distended large intestine","died",37.7,96,30,66,7.5,"yes"
"yes","adult","cool","reduced","pale pink","<3","continuous severe pain","absent","severe","slight",">1l","absent","distended large intestine","died",37.9,120,60,52,6.6,"yes"
"no","adult","warm","normal","pale pink","<3","alert no pain","hypomotile","slight","none","none","normal","distended large intestine","lived",37.7,44,40,41,60,"no"
"yes","adult","cool","reduced","bright red",">=3","depressed","absent","moderate","slight","<1l","absent","distended small intestine","died",49.3831254151595,104,46.6876593154156,69,8.6,"yes"
"yes","adult","normal","reduced","pale pink","<3","intermittent mild pain","absent","severe","none","<1l","absent","distended large intestine","lived",38.2,48,19.7041300481125,42,71,"yes"
"no","adult","normal","normal","normal pink","<3","intermittent mild pain","hypermotile","slight","slight","none","normal","distended large intestine","lived",38.2,42,26,36,6.9,"no"
"yes","young","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","died",29.494695847649,65.1659701134782,28.1304819980422,37,4.9,"yes"
"yes","adult","cool","normal","pale cyanotic","<3","continuous severe pain","hypomotile","moderate","slight","<1l","absent","distended large intestine","died",37.6,96,48,45,6.8,"yes"
"yes","adult","normal","normal","normal pink","<3","alert no pain","hypermotile","none","slight","none","normal","normal","lived",37.6,40,17.1786594998407,33.2502211207521,55.5769924950529,"yes"
"no","adult","cool","absent","pale pink","<3","intermittent severe pain","absent","severe","slight","none","decreased","distended large intestine","euthanized",35.0773825267019,80,36,38,6.2,"yes"
"no","adult","cool","reduced","bright red",">=3","intermittent severe pain","hypermotile","slight","none",">1l","increased","normal","died",37.2,84,48,73,5.5,"no"
"no","adult","cool","reduced","normal pink",">=3","depressed","hypomotile","moderate","slight","none","normal","distended large intestine","died",40.3,114,36,57,8.1,"yes"
"yes","adult","cool","normal","dark cyanotic",">=3","intermittent severe pain","hypomotile","none","slight",">1l","normal","distended small intestine","euthanized",38.3,80,40,67,10.2,"yes"
"yes","adult","cold","reduced","dark cyanotic",">=3","intermittent severe pain","absent","slight","none","<1l","absent","distended small intestine","died",39.3,105.185685085551,44.8185621863411,75,31.655272800511,"yes"
"no","adult","warm","normal","bright pink","<3","alert no pain","hypermotile","none","slight","none","normal","normal","lived",38.6,45,16,43,58,"no"
"yes","adult","warm","reduced","pale cyanotic",">=3","intermittent severe pain","absent","moderate","slight","none","decreased","distended large intestine","lived",38.5,96,30,50,65,"yes"
"no","adult","cold","reduced","dark cyanotic",">=3","depressed","absent","moderate","none","none","absent","distended large intestine","euthanized",36,100,20,74,5.7,"yes"
"no","adult","cool","normal","pale pink","<3","alert no pain","hypermotile","none","slight","none","absent","normal","lived",38,42,12,37,5.8,"no"
"yes","adult","cold","absent","pale cyanotic","<3","depressed","hypomotile","none","slight","none","absent","distended small intestine","lived",45.5474203582388,112,13,60,6.3,"yes"
"yes","adult","cool","normal","pale cyanotic","<3","depressed","hypomotile","moderate","slight","<1l","absent","distended small intestine","euthanized",53.9671310987089,82,72,53,65,"yes"
"yes","adult","normal","reduced","bright pink","<3","intermittent severe pain","hypomotile","moderate","none","none","normal","distended large intestine","died",37,66,20,35,6.9,"yes"
"no","adult","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","none","none","none","absent","distended large intestine","lived",38,60,32,50,7,"no"
"yes","adult","cold","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","slight",">1l","absent","distended small intestine","lived",38,42,68,41,7.6,"yes"
"no","adult","cool","normal","normal pink","<3","intermittent mild pain","absent","moderate","slight",">1l","absent","distended large intestine","lived",37.4,54,18,30,7.1,"yes"
"yes","adult","cool","reduced","pale pink","<3","continuous severe pain","hypomotile","moderate","none","none","absent","distended large intestine","died",37.7,120,28,65,7,"yes"
"yes","adult","normal","normal","bright red","<3","intermittent severe pain","hypomotile","none","slight","<1l","normal","distended large intestine","died",38.1,52,24,54,7.5,"yes"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","absent","none","slight",">1l","absent","distended small intestine","lived",38.2,76,28,46,81,"yes"
"yes","adult","cool","reduced","pale cyanotic","<3","intermittent mild pain","absent","none","slight","<1l","absent","distended large intestine","died",38.7,96,28,64,9,"yes"
"yes","adult","warm","normal","normal pink","<3","depressed","hypermotile","none","none","none","normal","distended large intestine","euthanized",37.5,72,26.232750548953,35,65,"yes"
"no","adult","normal","normal","bright pink","<3","depressed","normal","none","slight","none","absent","normal","lived",37.9,88,24,37,56,"no"
"yes","adult","normal","normal","pale pink","<3","intermittent mild pain","hypermotile","moderate","slight","none","decreased","firm feces in large intestine","lived",37.3,48,12,40,6.6,"yes"
"no","adult","cool","normal","bright pink",">=3","intermittent mild pain","absent","none","slight",">1l","absent","other","lived",38.5,54,20,42,6.3,"no"
"no","adult","warm","normal","pale pink","<3","intermittent mild pain","hypomotile","slight","none","none","normal","distended large intestine","lived",38.6,68,20,38,6.5,"no"
"yes","adult","cool","normal","pale pink","<3","continuous severe pain","absent","slight","slight","none","absent","distended large intestine","lived",38.7,68.299043903388,29.4348574734806,33,6.5,"yes"
"yes","adult","cool","normal","pale pink","<3","intermittent severe pain","hypomotile","none","slight","none","decreased","distended large intestine","lived",38,48,20,43,73,"yes"
"yes","adult","cool","reduced","dark cyanotic",">=3","continuous severe pain","hypomotile","moderate","none","<1l","absent","distended large intestine","died",42.6057828718509,88,40.3586087752121,63,6.5,"yes"
"no","adult","cool","normal","normal pink","<3","alert no pain","hypermotile","slight","slight","none","decreased","other","lived",38.2,42,21.8317156709639,35,5.9,"no"
"no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",38,42,40,35.1685459864891,34.9600892842643,"no"
"yes","adult","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","slight","none","absent","distended large intestine","lived",38,44,12,42,65,"yes"
"yes","adult","normal","normal","normal pink","<3","alert no pain","normal","none","slight","none","normal","normal","lived",37.8,48,28,46,5.9,"no"
"no","adult","cold","reduced","pale pink",">=3","intermittent severe pain","absent","moderate","slight","<1l","absent","other","euthanized",47.4363036473712,104,24,73,8.4,"yes"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","decreased","distended large intestine","lived",38.2,42,20,47,60,"no"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","died",36.1034579717869,78.392573234729,33.7704651469891,45,8.7,"yes"
"no","adult","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","none","none","normal","firm feces in large intestine","lived",38.6,52,20,36,6.6,"no"
"no","adult","cool","increased","pale cyanotic",">=3","intermittent severe pain","hypomotile","moderate","significant","none","absent","distended small intestine","euthanized",37.2,72,24,44,27.0132657931142,"yes"
"yes","adult","cool","reduced","pale pink","<3","depressed","hypomotile","moderate","slight",">1l","decreased","normal","died",38.9,80,44,54,6.5,"yes"
"no","adult","normal","normal","normal pink","<3","depressed","hypomotile","slight","slight","none","decreased","distended large intestine","lived",37.5,52,12,36,61,"no"
"yes","adult","normal","normal","pale pink",">=3","depressed","hypomotile","slight","slight","none","absent","distended large intestine","lived",32.0978000256379,70,36,36,7.3,"yes"
"no","adult","warm","increased","bright pink","<3","alert no pain","hypermotile","none","significant","none","normal","normal","lived",38.2,68,32,43,65,"no"
"no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","euthanized",23.8892153483014,40,16,50,7,"yes"
"yes","adult","cool","normal","pale pink","<3","intermittent severe pain","absent","slight","slight","none","absent","distended large intestine","lived",39.2,66.6532458222525,23,36,6.6,"yes"
"no","adult","normal","normal","bright red",">=3","depressed","normal","none","slight","none","increased","firm feces in large intestine","euthanized",38.5,60,20,63,7.5,"no"
"yes","adult","cold","reduced","pale cyanotic","<3","depressed","absent","severe","none","none","absent","distended large intestine","died",38,86,24,45,5.5,"yes"
"yes","adult","cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","significant","<1l","absent","distended small intestine","lived",42.7148194437751,100,30,52,6.6,"yes"
"yes","adult","normal","reduced","dark cyanotic",">=3","intermittent mild pain","absent","slight","slight","<1l","absent","distended small intestine","lived",37.5,96,18,69,8.9,"yes"
"no","adult","warm","normal","normal pink","<3","alert no pain","hypermotile","none","none","none","absent","distended large intestine","lived",37.7,48,19.7191323940102,45,76,"no"
"no","adult","cool","normal","normal pink","<3","alert no pain","hypermotile","none","slight","none","decreased","normal","lived",38.8,50,20,42,6.2,"no"
