"Style","Price","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern","Rating","Class"
"brief","average","free","winter","v-neck","halfsleeve","natural","polyster","broadcloth","lace","solid",4.8,"1"
"cute","average","xl","spring","boat-neck","full","natural","cotton","worsted","applique","dot",0,"2"
"party","medium","m","spring","o-neck","sleevless","natural","silk","chiffon","crystal","solid",4.8,"2"
"casual","average","free","winter","o-neck","short","natural","polyster","chiffon","cascading","solid",0,"1"
"casual","average","l","summer","o-neck","short","natural","cotton","jersey","pockets","solid",4.5,"1"
"sexy","low","m","autumn","o-neck","full","natural","cotton","chiffon","lace","print",5,"2"
"casual","average","free","summer","o-neck","sleevless","natural","cotton","chiffon","lace","floral",0,"1"
"casual","average","l","spring","boat-neck","thressqatar","natural","cotton","dobby","lace","animal",4.5,"2"
"party","very-high","free","spring","sweetheart","sleevless","natural","polyster","chiffon","beading","solid",4.8,"2"
"cute","medium","free","spring","o-neck","short","natural","chiffonfabric","chiffon","hollowout","solid",4.6,"2"
"party","very-high","free","summer","o-neck","sleevless","empire","rayon","chiffon","hollowout","solid",4.6,"1"
"casual","low","m","winter","v-neck","sleevless","natural","polyster","chiffon","lace","print",4.8,"1"
"casual","low","free","summer","o-neck","full","natural","cotton","chiffon","lace","solid",4.4,"2"
"brief","low","l","autumn","o-neck","halfsleeve","natural","rayon","chiffon","sashes","solid",4.4,"1"
"casual","medium","l","winter","o-neck","short","natural","cotton","broadcloth","sashes","solid",4.9,"1"
"sexy","average","l","autumn","v-neck","sleevless","empire","cotton","chiffon","lace","patchwork",0,"1"
"party","average","m","summer","o-neck","full","natural","cotton","chiffon","lace","patchwork",0,"2"
"vintage","average","l","summer","sqare-collor","short","empire","cotton","chiffon","lace","dot",0,"2"
"sexy","average","m","autumn","o-neck","sleevless","empire","milksilk","chiffon","lace","solid",5,"2"
"casual","low","free","spring","o-neck","sleevless","natural","cotton","chiffon","lace","print",4.8,"1"
"work","average","m","spring","v-neck","sleevless","natural","cotton","chiffon","lace","solid",4.7,"2"
"casual","average","m","spring","o-neck","sleevless","natural","cotton","chiffon","hollowout","print",4.8,"1"
"casual","medium","m","autumn","v-neck","short","empire","polyster","chiffon","lace","solid",0,"1"
"work","average","l","winter","v-neck","short","natural","mix","broadcloth","lace","solid",4.8,"1"
"casual","average","m","spring","v-neck","short","empire","cotton","chiffon","button","solid",4.5,"2"
"casual","low","xl","summer","o-neck","short","empire","mix","chiffon","sashes","geometric",4.8,"1"
"sexy","average","free","autumn","v-neck","sleevless","natural","polyster","chiffon","lace","patchwork",0,"1"
"sexy","average","free","summer","v-neck","sleevless","natural","cotton","chiffon","lace","solid",4.1,"2"
"casual","low","free","summer","o-neck","full","natural","cotton","chiffon","button","solid",4.5,"1"
"casual","average","free","summer","v-neck","sleevless","natural","cotton","chiffon","lace","patchwork",0,"1"
"cute","average","free","spring","v-neck","full","natural","cotton","chiffon","lace","solid",4.6,"2"
"party","average","m","winter","o-neck","sleevless","natural","cotton","chiffon","lace","solid",4.6,"2"
"casual","average","m","summer","v-neck","full","natural","cotton","shiffon","lace","solid",4.8,"1"
"party","average","m","spring","v-neck","sleevless","natural","cotton","chiffon","lace","solid",0,"2"
"bohemian","average","free","summer","o-neck","thressqatar","natural","cotton","chiffon","hollowout","solid",4.1,"1"
"party","average","free","winter","o-neck","sleevless","natural","polyster","chiffon","lace","solid",4.7,"1"
"sexy","low","free","spring","v-neck","sleevless","natural","cotton","chiffon","sequined","solid",4.8,"2"
"vintage","average","m","summer","o-neck","short","empire","cotton","jersey","lace","animal",4.8,"2"
"casual","average","free","spring","o-neck","short","natural","cotton","chiffon","lace","solid",0,"2"
"vintage","average","m","winter","o-neck","sleevless","natural","cotton","chiffon","lace","patchwork",4.8,"2"
"casual","medium","free","winter","bowneck","full","natural","cashmere","knitted","lace","solid",0,"2"
"casual","low","m","summer","o-neck","sleevless","natural","cotton","chiffon","lace","solid",4.3,"1"
"casual","average","m","summer","peterpan-collor","sleevless","natural","cotton","chiffon","lace","solid",4.5,"1"
"sexy","low","m","autumn","v-neck","full","natural","cotton","chiffon","lace","print",4.8,"2"
"cute","average","m","summer","o-neck","short","natural","cotton","chiffon","rivet","solid",4.8,"1"
"casual","average","free","summer","o-neck","sleevless","natural","cotton","chiffon","sashes","solid",4.8,"1"
"bohemian","low","free","summer","o-neck","short","natural","cotton","chiffon","lace","animal",4.8,"2"
"cute","average","m","spring","o-neck","halfsleeve","natural","acrylic","chiffon","lace","solid",4.6,"1"
"party","very-high","l","winter","v-neck","sleevless","natural","polyster","tulle","beading","solid",0,"1"
"sexy","low","free","autumn","v-neck","sleevless","natural","cotton","worsted","lace","solid",4.4,"1"
"sexy","average","free","spring","v-neck","full","natural","cotton","wollen","lace","solid",0,"2"
"casual","low","free","winter","o-neck","halfsleeve","natural","polyster","worsted","lace","patchwork",0,"2"
"novelty","average","free","winter","o-neck","short","natural","polyster","broadcloth","lace","solid",0,"2"
"sexy","low","m","winter","o-neck","threequarter","natural","cotton","chiffon","lace","print",4.7,"2"
"casual","very-high","small","spring","o-neck","full","natural","cotton","chiffon","applique","solid",0,"1"
"sexy","low","free","winter","o-neck","sleevless","natural","lycra","chiffon","hollowout","solid",0,"1"
"casual","low","l","winter","o-neck","sleevless","empire","polyster","chiffon","lace","leopard",0,"1"
"casual","average","m","spring","o-neck","halfsleeve","natural","cotton","chiffon","lace","solid",4.3,"2"
"casual","high","m","summer","sweetheart","sleevless","empire","cotton","chiffon","beading","solid",4.6,"2"
"casual","average","l","autumn","o-neck","halfsleeve","natural","cotton","chiffon","lace","solid",4.7,"1"
"vintage","low","m","summer","o-neck","short","natural","cotton","chiffon","lace","print",4.6,"1"
"bohemian","low","free","summer","o-neck","sleevless","empire","cotton","broadcloth","tassel","print",5,"2"
"cute","low","free","autumn","o-neck","sleevless","natural","polyster","chiffon","sashes","striped",4.3,"1"
"sexy","low","free","autumn","slash-neck","short","empire","cotton","chiffon","hollowout","solid",0,"1"
"cute","low","free","summer","boat-neck","sleevless","natural","cotton","chiffon","lace","print",0,"1"
"sexy","average","free","summer","sqare-collor","sleevless","natural","polyster","chiffon","sashes","print",4.9,"1"
"casual","low","free","autumn","peterpan-collor","threequarter","empire","cotton","chiffon","lace","solid",0,"1"
"casual","low","free","autumn","o-neck","full","natural","cotton","chiffon","lace","solid",4.6,"2"
"sexy","average","m","summer","o-neck","sleeveless","natural","polyster","broadcloth","rivet","solid",5,"1"
"casual","average","l","autumn","o-neck","sleevless","natural","linen","chiffon","ruffles","animal",4.4,"1"
"casual","low","m","autumn","o-neck","sleevless","empire","cotton","chiffon","lace","print",5,"2"
"vintage","average","free","winter","o-neck","short","natural","chiffonfabric","chiffon","lace","print",4.3,"1"
"cute","average","free","spring","sweetheart","sleevless","empire","spandex","tulle","ruched","solid",4.4,"2"
"casual","average","l","summer","v-neck","short","natural","cotton","chiffon","lace","print",4.7,"2"
"casual","average","l","spring","boat-neck","sleevless","natural","cotton","chiffon","lace","solid",0,"2"
"cute","average","m","spring","o-neck","full","natural","rayon","chiffon","beading","solid",4.7,"2"
"party","average","m","spring","o-neck","sleevless","natural","cotton","chiffon","lace","solid",0,"2"
"work","average","m","winter","slash-neck","short","natural","polyster","broadcloth","ruffles","solid",4.9,"1"
"casual","low","l","autumn","o-neck","full","natural","cotton","chiffon","lace","print",4.7,"1"
"casual","average","xl","winter","v-neck","short","empire","milksilk","chiffon","lace","print",4.7,"1"
"casual","average","m","autumn","o-neck","sleevless","natural","polyster","chiffon","plain","solid",4.3,"1"
"cute","low","m","spring","o-neck","short","empire","polyster","chiffon","ruffles","dot",4.7,"2"
"casual","average","m","spring","o-neck","sleevless","natural","cotton","chiffon","sashes","solid",4.7,"1"
"casual","low","free","summer","o-neck","sleevless","natural","cotton","chiffon","lace","print",4.8,"2"
"casual","average","m","summer","o-neck","sleevless","natural","cotton","chiffon","lace","dot",4.7,"1"
"casual","average","free","winter","o-neck","sleevless","natural","polyster","broadcloth","lace","solid",5,"2"
"sexy","low","free","summer","v-neck","sleevless","empire","cotton","chiffon","lace","animal",5,"2"
"casual","low","free","summer","o-neck","sleevless","natural","model","jersey","plain","solid",5,"2"
"casual","average","m","spring","o-neck","halfsleeve","natural","polyster","chiffon","lace","solid",4.6,"1"
"novelty","average","l","autumn","o-neck","short","natural","polyster","chiffon","lace","print",4.9,"2"
"casual","average","m","summer","v-neck","full","empire","cotton","chiffon","lace","solid",4.7,"2"
"brief","average","m","winter","o-neck","halfsleeve","natural","acrylic","chiffon","lace","striped",4.7,"1"
"party","very-high","m","spring","v-neck","cap-sleeves","natural","cotton","chiffon","lace","solid",4.5,"2"
"sexy","low","l","spring","o-neck","sleevless","natural","cotton","chiffon","lace","solid",4.5,"1"
"party","high","m","summer","slash-neck","sleevless","natural","cotton","chiffon","lace","solid",4.6,"2"
"brief","average","free","winter","o-neck","full","natural","mix","chiffon","sashes","solid",4.6,"1"
"casual","average","m","summer","o-neck","halfsleeve","natural","cotton","chiffon","ruffles","dot",0,"2"
"sexy","average","m","summer","v-neck","sleevless","empire","cotton","chiffon","sequined","solid",5,"2"
"casual","high","free","summer","v-neck","sleevless","natural","nylon","chiffon","lace","solid",5,"2"
"sexy","average","s","summer","v-neck","sleevless","empire","cotton","chiffon","sequined","solid",4.7,"2"
"casual","average","free","summer","o-neck","short","natural","cotton","chiffon","lace","solid",4.5,"2"
"work","low","m","winter","v-neck","threequarter","natural","cotton","chiffon","lace","patchwork",4.5,"1"
"casual","average","free","summer","o-neck","sleevless","natural","cotton","worsted","lace","striped",4.2,"2"
"casual","average","s","winter","o-neck","sleevless","empire","polyster","chiffon","lace","plaid",5,"1"
"casual","average","free","winter","o-neck","sleevless","natural","polyster","chiffon","sashes","solid",4.8,"1"
"bohemian","low","l","summer","bowneck","short","natural","cotton","chiffon","lace","dot",4.4,"1"
"casual","average","free","autumn","boat-neck","full","natural","cotton","chiffon","lace","solid",3.7,"2"
"casual","average","m","winter","o-neck","short","natural","lycra","broadcloth","applique","patchwork",4.8,"1"
"sexy","low","m","summer","o-neck","sleevless","empire","cotton","chiffon","ruffles","animal",4.6,"2"
"casual","low","l","summer","o-neck","full","natural","mix","worsted","lace","patchwork",4.7,"2"
"casual","low","free","spring","v-neck","sleevless","natural","cotton","chiffon","lace","print",0,"1"
"casual","low","m","spring","o-neck","full","natural","polyster","chiffon","lace","solid",4.7,"2"
"party","high","m","summer","sweetheart","sleevless","princess","cotton","sattin","lace","solid",4.8,"2"
"cute","average","l","winter","o-neck","sleevless","natural","cotton","chiffon","lace","solid",4.3,"1"
"casual","low","s","spring","o-neck","sleevless","natural","chiffonfabric","chiffon","lace","print",5,"1"
"work","average","free","winter","o-neck","half","natural","microfiber","chiffon","lace","solid",5,"1"
"cute","high","m","spring","v-neck","full","natural","rayon","chiffon","lace","solid",0,"2"
"casual","low","l","summer","boat-neck","short","natural","cotton","chiffon","lace","patchwork",4.9,"2"
"bohemian","low","free","spring","o-neck","short","natural","nylon","jersey","sashes","print",5,"2"
"sexy","low","free","summer","o-neck","full","empire","cotton","chiffon","lace","solid",4.3,"1"
"casual","average","m","summer","o-neck","thressqatar","natural","chiffonfabric","chiffon","ruched","solid",4.7,"1"
"casual","low","free","winter","bowneck","full","natural","polyster","chiffon","bow","solid",4.8,"1"
"casual","very-high","m","winter","o-neck","short","natural","cotton","chiffon","flowers","solid",4.6,"2"
"casual","low","m","summer","o-neck","sleevless","empire","milksilk","chiffon","lace","solid",4.7,"1"
"brief","low","m","summer","o-neck","short","natural","cotton","chiffon","lace","animal",4.6,"1"
"sexy","average","m","winter","v-neck","sleevless","natural","polyster","broadcloth","lace","patchwork",4.7,"1"
"casual","low","m","summer","o-neck","sleevless","natural","cotton","chiffon","sashes","striped",4.6,"1"
"vintage","average","free","summer","o-neck","urndowncollor","empire","cotton","chiffon","lace","solid",4.9,"1"
"vintage","average","s","summer","turndowncollor","short","empire","cotton","chiffon","lace","solid",4.7,"1"
"casual","average","l","spring","v-neck","halfsleeve","natural","cotton","broadcloth","lace","print",4.7,"2"
"casual","average","l","summer","o-neck","sleevless","natural","silk","chiffon","beading","solid",4.7,"1"
"casual","low","l","winter","o-neck","full","natural","cotton","chiffon","lace","solid",4.6,"1"
"bohemian","average","l","autumn","o-neck","sleevless","natural","cotton","chiffon","lace","solid",4.7,"1"
"casual","average","m","summer","o-neck","full","natural","cotton","chiffon","lace","solid",4.5,"1"
"work","average","m","summer","o-neck","sleveless","natural","cotton","chiffon","lace","solid",5,"2"
"casual","average","m","spring","o-neck","halfsleeve","natural","cotton","chiffon","lace","solid",0,"1"
"casual","average","l","spring","o-neck","halfsleeve","natural","polyster","chiffon","hollowout","solid",0,"2"
"bohemian","low","free","winter","o-neck","sleevless","empire","polyster","chiffon","lace","patchwork",4.6,"2"
"casual","average","free","summer","o-neck","short","natural","polyster","chiffon","lace","solid",4.5,"1"
"sexy","low","s","autumn","o-neck","sleevless","empire","cotton","chiffon","lace","solid",4,"2"
"vintage","low","free","summer","turndowncollor","short","natural","cotton","wollen","hollowout","solid",4,"1"
"cute","average","m","autumn","v-neck","sleevless","natural","cotton","chiffon","lace","solid",5,"1"
"sexy","low","free","winter","v-neck","sleevless","empire","cotton","chiffon","lace","solid",0,"2"
"casual","average","xl","winter","boat-neck","full","natural","cotton","chiffon","lace","geometric",5,"2"
"casual","low","free","summer","o-neck","full","natural","cotton","worsted","lace","solid",4.6,"2"
"casual","average","free","winter","v-neck","full","natural","cotton","chiffon","ruffles","print",0,"1"
"cute","average","m","summer","o-neck","short","natural","cotton","chiffon","lace","print",0,"1"
"brief","average","m","winter","peterpan-collor","threequarter","natural","cotton","chiffon","lace","patchwork",0,"1"
"party","very-high","m","spring","sweetheart","sleevless","natural","silk","chiffon","beading","solid",4.9,"2"
"casual","average","l","autumn","o-neck","sleevless","empire","polyster","chiffon","ruffles","solid",4.6,"1"
"casual","average","m","winter","v-neck","sleevless","natural","cotton","chiffon","button","striped",4.5,"1"
"bohemian","average","m","spring","slash-neck","sleevless","empire","cotton","chiffon","ruffles","solid",5,"2"
"casual","low","s","autumn","o-neck","sleevless","natural","polyster","chiffon","lace","solid",4.4,"1"
"casual","low","free","winter","boat-neck","full","natural","other","other","lace","solid",0,"1"
"casual","average","l","autumn","boat-neck","sleevless","natural","cotton","chiffon","sashes","solid",4.8,"1"
"party","very-high","m","spring","sweetheart","sleeevless","empire","cotton","chiffon","beading","solid",4.9,"2"
"casual","low","free","winter","o-neck","sleevless","natural","cotton","chiffon","lace","solid",4.7,"2"
"casual","average","l","winter","o-neck","short","natural","cotton","chiffon","pockets","solid",4.8,"2"
"vintage","average","free","summer","o-neck","sleevless","natural","cotton","chiffon","lace","solid",0,"1"
"vintage","medium","s","winter","turndowncollor","halfsleeve","natural","cotton","broadcloth","lace","plaid",0,"1"
"casual","low","free","summer","o-neck","full","natural","cotton","chiffon","lace","solid",4.7,"2"
"vintage","average","l","autumn","o-neck","sleevless","empire","cotton","worsted","lace","solid",4.5,"1"
"casual","average","m","summer","o-neck","sleevless","natural","polyster","chiffon","lace","character",4.7,"1"
"sexy","low","free","summer","o-neck","sleevless","empire","cotton","chiffon","sashes","solid",4.5,"2"
"casual","average","free","summer","v-neck","sleevless","natural","modal","chiffon","lace","patchwork",5,"1"
"cute","average","free","summer","boat-neck","sleevless","natural","cotton","chiffon","lace","solid",4.3,"2"
"casual","average","m","summer","o-neck","short","empire","cotton","chiffon","lace","patchwork",4.4,"1"
"casual","low","free","autumn","o-neck","full","natural","rayon","chiffon","lace","solid",4.6,"2"
"casual","average","l","winter","o-neck","sleevless","natural","polyster","chiffon","lace","solid",4.1,"2"
"casual","low","free","summer","v-neck","short","empire","cotton","corduroy","lace","solid",4.4,"1"
"party","average","l","summer","sweetheart","sleevless","empire","cotton","chiffon","pleat","solid",4.8,"2"
"casual","low","l","summer","o-neck","sleevless","natural","cotton","chiffon","lace","solid",4.4,"1"
"casual","low","free","spring","o-neck","sleevless","natural","polyster","chiffon","sashes","print",4.4,"1"
"party","average","m","spring","o-neck","halfsleeve","empire","cotton","shiffon","lace","patchwork",4.7,"1"
"casual","average","m","winter","o-neck","sleevless","natural","cotton","chiffon","sashes","solid",5,"2"
"cute","low","m","autumn","o-neck","short","natural","chiffonfabric","chiffon","bow","dot",4.9,"1"
"work","average","m","spring","v-neck","full","natural","cotton","chiffon","lace","solid",4.6,"1"
"brief","average","free","spring","v-neck","sleevless","natural","cotton","broadcloth","lace","solid",5,"2"
"casual","low","free","winter","boat-neck","full","natural","cotton","chiffon","lace","patchwork",4.6,"2"
"casual","medium","m","spring","o-neck","sleevless","natural","cotton","chiffon","bow","solid",4.7,"2"
"casual","low","free","winter","o-neck","full","natural","wool","chiffon","applique","solid",5,"1"
"bohemian","average","free","winter","o-neck","sleevless","natural","polyster","chiffon","ruffles","striped",4,"1"
"casual","average","free","summer","o-neck","sleevless","natural","cotton","chiffon","lace","solid",4.8,"1"
"casual","average","l","spring","o-neck","short","natural","cotton","chiffon","lace","patchwork",4.5,"1"
"casual","low","free","spring","v-neck","sleevless","natural","silk","chiffon","draped","solid",4.6,"1"
"casual","medium","l","winter","boat-neck","full","empire","cotton","chiffon","lace","solid",0,"2"
"party","medium","m","winter","o-neck","sleevless","empire","cotton","chiffon","button","solid",4.7,"2"
"casual","average","m","autumn","v-neck","sleevless","natural","polyster","chiffon","lace","solid",4.9,"2"
"sexy","low","m","spring","v-neck","short","natural","polyster","satin","ruffles","solid",0,"2"
"brief","average","free","winter","o-neck","sleevless","natural","cotton","chiffon","lace","solid",4.9,"1"
"brief","average","free","summer","slash-neck","sleevless","natural","cotton","chiffon","lace","solid",4.9,"1"
"casual","average","l","autumn","o-neck","short","natural","cashmere","chiffon","lace","solid",4.8,"1"
"casual","average","m","autumn","o-neck","short","empire","polyster","chiffon","applique","print",0,"1"
"cute","average","m","winter","o-neck","short","natural","polyster","chiffon","sashes","solid",0,"1"
"cute","average","l","winter","v-neck","sleevless","natural","polyster","jersey","sashes","solid",4.5,"2"
"sexy","average","m","winter","v-neck","sleevless","natural","cotton","flannael","lace","solid",4.2,"1"
"sexy","average","m","spring","o-neck","sleevless","natural","cotton","chiffon","lace","solid",4.7,"2"
"casual","low","s","summer","o-neck","full","natural","cotton","chiffon","lace","patchwork",4.7,"1"
"casual","low","m","summer","boat-neck","short","natural","cotton","chiffon","sashes","solid",5,"1"
"casual","average","free","spring","o-neck","short","natural","cotton","chiffon","hollowout","plaid",0,"1"
"sexy","average","m","winter","o-neck","full","natural","polyster","chiffon","lace","patchwork",4.6,"2"
"party","high","m","spring","o-neck","threequarter","natural","cotton","chiffon","lace","print",4.7,"1"
"sexy","low","free","summer","slash-neck","sleevless","empire","silk","chiffon","lace","solid",4.8,"1"
"casual","average","m","winter","o-neck","sleevless","natural","polyster","chiffon","ruched","striped",4.5,"1"
"sexy","low","free","winter","v-neck","sleevless","natural","silk","worsted","lace","solid",4.3,"2"
"sexy","low","free","summer","turndowncollor","sleevless","natural","cotton","chiffon","lace","solid",4.7,"2"
"casual","low","free","spring","bowneck","sleevless","natural","silk","chiffon","applique","print",5,"1"
"cute","low","free","spring","v-neck","sleevless","natural","silk","worsted","lace","patchwork",0,"2"
"sexy","medium","free","winter","o-neck","sleevless","natural","polyster","chiffon","sequined","solid",0,"1"
"casual","average","free","winter","v-neck","full","natural","cotton","flannel","lace","striped",4.6,"1"
"casual","low","l","summer","o-neck","sleevless","natural","cotton","jersey","lace","print",0,"1"
"party","very-high","m","winter","o-neck","full","natural","cotton","chiffon","feathers","solid",0,"2"
"casual","average","l","winter","v-neck","short","empire","polyster","chiffon","ruffles","solid",4.8,"1"
"party","high","m","winter","o-neck","sleevless","natural","cotton","chiffon","lace","solid",4.5,"2"
"work","average","m","autumn","slash-neck","sleevless","natural","polyster","chiffon","bow","patchwork",0,"1"
"sexy","low","free","summer","slash-neck","sleevless","natural","polyster","corduroy","lace","solid",4.5,"1"
"ol","medium","m","winter","mandarin-collor","halfsleeve","natural","cotton","chiffon","sashes","solid",0,"1"
"casual","average","m","autumn","v-neck","full","natural","cotton","chiffon","sashes","solid",4.1,"2"
"cute","low","l","spring","o-neck","sleevless","empire","cotton","chiffon","lace","solid",0,"2"
"casual","average","m","winter","v-neck","sleevless","empire","polyster","chiffon","applique","print",4.7,"1"
"casual","low","l","autumn","o-neck","short","natural","polyster","shiffon","lace","patchwork",4.7,"2"
"casual","low","free","winter","o-neck","sleevless","natural","milksilk","chiffon","lace","animal",4.7,"1"
"sexy","average","free","winter","slash-neck","sleevless","natural","cotton","broadcloth","sequined","solid",0,"2"
"sexy","low","free","summer","v-neck","sleevless","dropped","cotton","chiffon","lace","solid",0,"2"
"party","very-high","m","spring","v-neck","sleevless","empire","cotton","sattin","beading","solid",4.9,"2"
"casual","low","s","winter","o-neck","sleeevless","natural","knitting","chiffon","lace","solid",4.7,"1"
"cute","average","l","summer","o-neck","sleevless","natural","polyster","broadcloth","lace","solid",4.7,"1"
"sexy","high","m","summer","v-neck","sleevless","natural","mix","chiffon","lace","striped",5,"1"
"bohemian","low","free","summer","o-neck","sleevless","natural","cotton","chiffon","none","solid",4.6,"2"
"casual","average","xl","winter","v-neck","short","empire","polyster","shiffon","pockets","solid",0,"2"
"casual","average","m","summer","o-neck","halfsleeve","natural","cotton","chiffon","lace","solid",4.8,"1"
"sexy","low","free","spring","v-neck","sleeveless","natural","cotton","chiffon","sequined","solid",4.7,"2"
"casual","low","l","winter","v-neck","full","natural","cotton","chiffon","lace","solid",0,"1"
"cute","average","l","summer","o-neck","sleevless","natural","cotton","worsted","lace","print",4.7,"1"
"casual","average","m","winter","o-neck","full","natural","cotton","jersey","feathers","solid",0,"2"
"party","average","m","spring","v-neck","sleevless","natural","polyster","chiffon","hollowout","solid",4.7,"1"
"casual","average","m","spring","o-neck","sleevless","natural","silk","chiffon","lace","print",0,"1"
"casual","average","m","spring","o-neck","thressqatar","natural","spandex","chiffon","lace","solid",5,"1"
"casual","average","m","winter","slash-neck","sleeveless","natural","polyster","chiffon","sashes","solid",4.3,"1"
"casual","low","free","spring","o-neck","halfsleeve","natural","silk","chiffon","sashes","print",4.7,"1"
"novelty","average","s","winter","turndowncollor","full","natural","cotton","chiffon","lace","patchwork",0,"1"
"casual","average","m","winter","v-neck","full","empire","polyster","chiffon","lace","patchwork",4.2,"2"
"party","very-high","l","spring","sweetheart","sleevless","empire","microfiber","organza","beading","solid",4.8,"2"
"sexy","average","l","winter","o-neck","threequarter","natural","polyster","chiffon","lace","geometric",5,"1"
"sexy","low","m","winter","v-neck","sleevless","natural","polyster","chiffon","lace","striped",4.7,"1"
"brief","average","m","spring","o-neck","full","natural","mix","worsted","sequined","patchwork",4.3,"2"
"casual","average","s","summer","v-neck","short","natural","cotton","chiffon","lace","dot",4.7,"1"
"sexy","average","m","summer","bowneck","sleevless","natural","cotton","chiffon","lace","solid",4.5,"1"
"party","high","m","winter","sweetheart","sleevless","natural","cotton","chiffon","pearls","solid",0,"1"
"fashion","average","free","summer","open","full","natural","cotton","chiffon","sequined","solid",4,"1"
"party","average","m","winter","o-neck","capsleeves","empire","polyster","chiffon","lace","solid",5,"2"
"casual","average","l","winter","o-neck","thressqatar","natural","polyster","chiffon","applique","solid",5,"1"
"casual","low","l","summer","o-neck","petal","natural","microfiber","chiffon","ruffles","animal",0,"1"
"party","very-high","l","spring","slash-neck","sleevless","natural","cotton","chiffon","flowers","solid",4.9,"2"
"casual","low","m","summer","v-neck","full","natural","acrylic","chiffon","lace","solid",0,"1"
"sexy","low","l","summer","o-neck","sleevless","natural","cotton","chiffon","lace","solid",4.8,"2"
"casual","average","l","winter","open","short","natural","mix","poplin","applique","solid",0,"2"
"sexy","average","m","autumn","slash-neck","sleevless","natural","nylon","chiffon","rivet","solid",4.7,"1"
"sexy","average","s","autumn","slash-neck","short","natural","cotton","chiffon","lace","solid",0,"1"
"casual","low","free","spring","o-neck","sleevless","empire","cotton","chiffon","lace","floral",4.7,"1"
"party","average","free","summer","v-neck","sleevless","natural","cotton","chiffon","lace","solid",5,"1"
"sexy","low","free","spring","v-neck","sleevless","natural","cotton","chiffon","lace","striped",4.8,"2"
"sexy","low","free","summer","v-neck","sleevless","empire","cotton","chiffon","lace","solid",0,"1"
"vintage","average","m","summer","v-neck","short","natural","rayon","chiffon","beading","print",4.7,"1"
"casual","average","m","winter","o-neck","threequarter","natural","cotton","chiffon","lace","print",4.8,"2"
"casual","average","l","winter","o-neck","sleevless","natural","polyster","chiffon","lace","patchwork",4.7,"1"
"sexy","medium","l","summer","o-neck","short","natural","spandex","jersey","lace","solid",4.6,"1"
"party","very-high","m","spring","v-neck","threequater","natural","lycra","sattin","applique","solid",0,"2"
"sexy","low","free","spring","o-neck","full","natural","cotton","worsted","lace","striped",5,"1"
"casual","average","m","summer","turndowncollor","sleevless","natural","chiffonfabric","chiffon","lace","solid",4.4,"1"
"casual","medium","s","winter","o-neck","full","natural","polyster","chiffon","lace","patchwork",4.5,"2"
"casual","average","s","spring","turndowncollor","full","empire","cotton","worsted","lace","solid",5,"1"
"cute","low","free","spring","v-neck","sleevless","empire","chiffonfabric","chiffon","lace","solid",0,"2"
"party","average","l","summer","o-neck","full","natural","cotton","chiffon","lace","solid",4.5,"2"
"work","average","m","winter","turndowncollor","full","natural","cotton","chiffon","lace","solid",4.8,"1"
"cute","low","free","summer","peterpan-collor","short","empire","cotton","broadcloth","applique","print",0,"1"
