"Sex","Married","BankCustomer","EducationLevel","Ethicity","PriorDefault","Employed","Driverslicense","Citizen","Age","Debt","Yearsemployed","CreditScore","Zipcode","Income","class"
"b","u","g","q","h","t","t","f","g",43.25,25.21,0.21,1,760,90,"-"
"b","u","g","c","h","t","t","f","g",41.92,0.42,0.21,6,220,948,"+"
"b","u","g","w","v","f","f","f","g",29.42,1.25,1.75,0,200,0,"-"
"b","y","p","c","h","t","f","f","g",62.5,12.75,5,0,112,0,"-"
"b","y","p","e","h","t","f","t","g",32,1.75,0.04,0,393,0,"+"
"b","u","g","w","v","t","f","t","g",36.33,3.79,1.165,0,200,0,"-"
"b","u","g","i","v","f","f","f","g",22.75,11.5,0.415,0,0,0,"-"
"a","u","g","c","h","t","f","t","g",25.75,0.5,0.875,0,491,0,"+"
"b","u","g","m","v","t","t","t","g",57.83,7.04,14,6,360,1332,"+"
"a","u","g","j","j","f","t","f","g",23,1.835,0,1,200,53,"-"
"b","u","g","q","v","t","t","t","g",19.67,0.375,2,2,80,0,"+"
"b","y","p","cc","v","f","f","t","g",33.17,2.25,3.5,0,200,141,"-"
"b","u","g","i","bb","f","f","t","g",43.17,5,2.25,0,141,0,"-"
"a","u","g","aa","v","f","f","t","g",50.25,0.835,0.5,0,240,117,"-"
"b","u","g","aa","v","t","f","t","g",34,4.5,1,0,240,0,"-"
"b","u","g","i","bb","t","f","f","g",43.17,2.25,0.75,0,560,0,"-"
"b","u","g","cc","v","t","t","f","g",30.17,6.5,3.125,8,330,1200,"+"
"b","u","g","d","v","f","f","f","g",41.17,1.335,0.165,0,168,0,"-"
"b","y","p","d","v","f","f","f","g",36.42,0.75,0.585,0,240,3,"-"
"b","u","g","e","bb","t","f","t","s",32.33,7.5,1.585,0,420,0,"-"
"a","y","p","ff","ff","f","t","t","g",25.25,13.5,2,1,200,1,"-"
"b","y","p","aa","v","f","f","f","g",16.25,0,0.25,0,60,0,"-"
"b","u","g","e","v","t","t","f","g",53.92,9.625,8.665,5,0,0,"+"
"b","u","g","i","bb","f","f","f","s",40.58,1.5,0,0,300,0,"-"
"b","u","g","m","v","t","t","f","g",39.25,9.5,6.5,14,240,4607,"+"
"a","u","g","aa","v","t","t","f","g",35.75,0.915,0.75,4,0,1583,"+"
"b","u","g","c","v","f","f","f","p",37.58,0,0,0,6.18977715122531,0,"+"
"b","y","p","d","v","t","f","f","s",44.25,11,1.5,0,0,0,"-"
"a","u","g","c","v","t","f","f","g",44.33,0,2.5,0,0,0,"+"
"a","u","g","ff","ff","t","t","t","g",65.17,14,0,11,0,1400,"+"
"b","u","g","q","h","t","t","t","g",37.75,7,11.5,7,300,5,"-"
"b","y","p","i","v","f","f","t","g",19.17,4,1,0,360,1000,"-"
"a","u","g","cc","v","t","f","f","g",32.33,0.54,0.04,0,440,11177,"+"
"b","u","g","c","v","t","t","t","g",34.17,9.17,4.5,12,0,221,"+"
"b","u","g","i","bb","f","f","f","g",39.92,5,0.21,0,550,0,"-"
"b","y","p","c","h","f","f","f","g",21.17,0.875,0.25,0,280,204,"-"
"b","u","g","w","v","t","f","f","s",20.17,5.625,1.71,0,120,0,"+"
"b","y","p","i","v","f","f","t","g",34.9203665184959,4,0.085,0,411,0,"-"
"b","u","g","q","v","t","t","t","g",24.17,0.875,4.625,2,520,2000,"+"
"a","u","g","cc","h","t","t","f","g",19.17,8.585,0.75,7,96,0,"+"
"a","u","g","q","v","t","t","f","g",20.67,3,0.165,3,100,6,"+"
"a","u","g","x","h","t","f","f","g",25.17,2.875,0.875,0,360,0,"+"
"b","y","p","k","v","t","t","f","g",21.67,1.165,2.5,1,180,20,"-"
"b","u","g","e","dd","t","f","f","g",20.25,9.96,0,0,0,0,"+"
"b","u","g","w","h","t","t","f","g",19.42,6.5,1.46,7,80,2954,"+"
"b","u","g","q","v","f","f","f","g",18.83,0,0.665,0,160,1,"-"
"b","u","g","i","v","f","f","f","g",17.42,6.5,0.125,0,60,100,"-"
"b","u","g","aa","v","f","f","t","g",28.58,3.625,0.25,0,100,0,"-"
"a","u","g","ff","ff","f","t","t","g",31.92,3.125,3.04,2,200,4,"-"
"a","u","g","cc","h","t","t","t","g",31.25,3.75,0.625,9,181,0,"+"
"b","u","g","c","v","t","t","f","g",20.42,1.835,2.25,1,100,150,"+"
"b","u","g","c","h","t","t","f","g",28.92,15,5.335,11,0,2283,"+"
"b","y","p","w","v","f","f","f","s",31.08,1.5,0.04,0,160,0,"-"
"b","u","g","x","v","t","f","f","g",41.75,0.96,2.5,0,510,600,"+"
"b","u","g","w","v","f","t","f","g",35.75,2.415,0.125,2,220,1,"-"
"b","y","p","x","h","f","f","f","g",29.83,2.04,0.04,0,128,1,"-"
"a","y","p","x","h","f","f","t","g",20.42,10.5,0,0,154,32,"-"
"b","u","g","aa","v","t","f","t","s",25,12.5,3,0,20,0,"+"
"b","y","p","m","v","f","f","f","s",39.42,1.71,0.165,0,400,0,"-"
"b","u","g","k","v","f","f","t","g",21.83,1.54,0.085,0,356,0,"-"
"b","u","g","c","h","t","f","f","g",23.33,1.5,1.415,0,422,200,"+"
"a","u","g","w","v","t","t","t","g",18.83,9.5,1.625,6,40,600,"+"
"b","u","g","x","v","t","t","t","g",39.17,1.71,0.125,5,480,0,"+"
"b","y","p","c","v","f","f","t","g",36.75,0.125,1.5,0,232,113,"+"
"b","y","p","c","h","t","t","t","g",20.67,1.25,1.375,3,140,210,"-"
"b","u","g","q","v","f","f","f","g",36.5,4.25,3.5,0,454,50,"-"
"b","u","g","c","v","f","f","f","g",20,7,0.5,0,0,0,"-"
"b","y","p","w","h","t","f","t","g",32.67,9,5.25,0,154,0,"+"
"a","u","g","d","v","f","f","t","g",33.08,1.625,0.54,0,0,0,"-"
"b","y","p","i","bb","f","f","f","g",0.00692763303165018,3,7,0,0,1,"-"
"b","u","g","ff","ff","t","t","f","g",55.92,11.5,5,5,0,8851,"+"
"b","u","g","k","h","t","t","t","g",28,2,4.165,2,181,0,"+"
"b","u","g","i","bb","f","f","t","g",34.17,2.75,2.5,0,232,200,"-"
"a","y","p","c","h","t","f","f","g",18.83,4.415,3,0,240,0,"+"
"b","y","p","x","h","t","f","t","g",40.92,2.25,10,0,176,0,"-"
"a","u","g","q","v","t","t","f","g",28.17,0.375,0.585,4,80,0,"+"
"b","u","g","w","bb","t","f","t","g",34.25,1.75,0.25,0,163,0,"-"
"b","u","g","aa","bb","f","f","t","g",27.42,12.5,0.25,0,720,0,"-"
"b","u","g","c","bb","t","f","t","s",37.17,4,5,0,280,0,"-"
"b","y","p","c","v","t","t","f","g",56.42,28,28.5,40,0,15,"+"
"a","y","p","ff","ff","t","t","f","g",24.5,1.04,0.5,3,180,147,"-"
"a","u","g","i","bb","t","t","t","g",47,13,5.165,9,0,0,"+"
"b","u","g","e","z","t","t","t","g",65.42,11,20,7,22,0,"+"
"b","y","p","c","v","f","f","f","g",17.08,0.085,0.04,0,140,722,"-"
"a","u","g","e","z","t","t","f","g",68.67,15,0,14,0,3376,"+"
"b","u","g","i","bb","t","t","f","g",34.42,4.25,3.25,2,274,610,"+"
"b","u","g","m","v","t","f","t","s",23,0.75,0.5,0,320,0,"-"
"b","y","p","c","v","f","f","t","g",34,5.5,1.5,0,60,0,"-"
"b","u","g","q","h","t","f","f","g",22.67,10.5,1.335,0,100,0,"+"
"b","u","g","c","v","f","t","t","g",22.17,12.125,3.335,2,180,173,"-"
"b","u","g","d","h","f","f","t","g",32.75,2.335,5.75,0,292,0,"-"
"a","u","g","q","h","t","f","f","g",40.83,10,1.75,0,29,837,"+"
"a","y","p","e","z","t","f","f","g",28.08,15,0,0,0,13212,"+"
"b","u","g","w","v","f","f","t","g",28,3,0.75,0,300,67,"-"
"b","u","g","c","v","t","f","f","g",31.42,15.5,0.5,0,120,0,"-"
"b","u","g","c","v","f","t","f","g",25.17,3,1.25,1,0,22,"-"
"a","y","p","q","v","t","f","t","g",22.5,11,3,0,268,0,"-"
"b","u","g","x","v","t","f","f","g",0.0120087376241862,10.5,6.5,0,0,0,"+"
"b","u","g","q","v","t","t","t","g",22.75,11,2.5,7,100,809,"+"
"b","y","p","d","h","f","f","f","g",27.83,1,3,0,176,537,"-"
"a","u","g","w","v","t","t","f","g",32.17,1.46,1.085,16,120,2079,"+"
"b","u","g","c","v","f","f","t","g",58.58,2.71,2.415,0,320,0,"-"
"a","u","g","q","v","t","t","f","g",25.42,1.125,1.29,2,200,0,"-"
"b","u","g","i","h","t","f","f","g",42,0.205,5.125,0,400,0,"+"
"b","u","g","aa","v","t","f","t","g",27.25,0.625,0.455,0,200,0,"-"
"b","u","g","d","v","f","f","t","s",18.25,0.165,0.25,0,280,0,"-"
"b","u","g","q","h","t","t","f","g",28.67,9.335,5.665,6,381,168,"+"
"b","y","p","c","v","f","f","t","g",42.25,1.75,0,0,150,1,"-"
"a","y","p","i","bb","f","f","f","g",24.33,2.5,4.5,0,200,456,"-"
"a","u","g","i","h","f","f","f","g",19.17,5.415,0.29,0,80,484,"-"
"b","u","g","d","v","t","f","t","s",78.8399515987197,0.375,0.875,0,928,0,"-"
"b","y","p","c","v","f","t","f","g",23.75,0.415,0.04,2,128,6,"-"
"a","u","g","ff","ff","t","t","f","g",64.08,0.165,0,1,232,100,"+"
"a","u","g","q","h","f","f","f","g",24.75,13.665,1.5,0,280,1,"-"
"a","u","g","q","v","f","t","t","g",23.58,0.83,0.415,1,200,11,"-"
"b","y","p","c","h","t","f","f","g",22.67,2.54,2.585,0,0,0,"+"
"b","y","p","c","v","t","t","t","g",43.08,0.375,0.375,8,300,162,"+"
"b","y","p","c","v","f","f","t","g",19,1.75,2.335,0,112,6,"-"
"b","u","g","i","bb","t","t","f","g",51.33,10,0,11,0,1249,"+"
"b","u","g","i","h","t","f","t","g",44.33,0.5,5,0,320,0,"+"
"b","u","g","ff","ff","f","f","f","g",18.58,10.29,0.415,0,80,0,"-"
"b","u","g","m","v","f","f","f","s",34.67,1.08,1.165,0,28,0,"-"
"b","u","g","w","v","t","t","t","g",29.17,3.5,3.5,3,329,0,"-"
"b","u","g","aa","v","f","f","f","g",42.75,4.085,0.04,0,108,100,"-"
"b","u","g","aa","v","f","f","f","g",22.25,9,0.085,0,0,0,"-"
"b","u","g","cc","v","f","f","t","g",37.33,2.665,0.165,0,0,501,"-"
"b","u","g","cc","v","t","t","t","g",25.67,12.5,1.21,67,140,258,"+"
"b","u","g","w","v","t","t","t","g",39.58,13.915,8.625,6,70,0,"+"
"b","u","g","m","v","f","f","f","s",22.92,0.17,0.085,0,0,0,"-"
"b","u","g","cc","h","t","t","f","g",31.92,4.46,6.04,3,311,300,"+"
"a","u","g","q","v","t","t","t","g",28.5,1,1,2,167,500,"-"
"a","u","g","aa","v","f","f","f","g",16.33,0.21,0.125,0,200,1,"-"
"a","u","g","x","v","t","t","t","g",47.42,3,13.875,2,519,1704,"+"
"a","u","g","i","v","f","t","t","g",16.92,0.5,0.165,6,240,35,"-"
"a","u","g","ff","ff","f","f","f","g",36.75,4.71,0,0,160,0,"-"
"b","u","g","c","h","f","f","t","g",22.08,0.83,2.165,0,128,0,"+"
"a","y","p","j","j","f","f","f","g",31.75,3,0,0,160,20,"-"
"b","u","g","ff","ff","t","t","t","g",60.08,14.5,18,15,0,1000,"+"
"b","y","p","i","bb","t","t","t","g",30.08,1.04,0.5,10,132,28,"-"
"b","u","g","m","v","f","f","t","s",40.58,3.29,3.5,0,400,0,"-"
"b","u","g","c","h","f","f","f","g",18.17,10.25,1.085,0,320,13,"-"
"b","u","g","ff","ff","f","f","f","g",50.75,0.585,0,0,145,0,"-"
"b","u","g","w","v","t","f","t","g",34.92,2.5,0,0,239,200,"+"
"b","u","g","cc","h","t","t","f","g",32.83,2.5,2.75,6,160,2072,"+"
"b","u","g","w","v","t","t","t","g",29.58,4.5,7.5,2,330,0,"+"
"b","u","g","aa","v","t","t","t","g",29.25,14.79,5.04,5,168,0,"+"
"a","u","g","q","v","t","t","f","g",20.67,1.835,2.085,5,220,2503,"+"
"b","u","g","i","bb","f","f","f","s",40.83,3.5,0.5,0,1160,0,"-"
"b","y","p","cc","v","t","t","f","g",26.67,2.71,5.25,1,211,0,"+"
"b","u","g","m","v","t","f","t","g",32.08,4,2.5,0,360,0,"+"
"a","u","g","q","v","t","f","t","g",28.58,1.665,2.415,0,440,0,"-"
"b","u","g","c","v","t","t","f","g",51.58,15,8.5,9,0,0,"+"
"b","u","g","d","h","t","t","f","g",23.92,1.5,1.875,6,200,327,"+"
"b","u","g","x","v","t","t","f","g",21.83,11,0.29,6,121,0,"+"
"a","u","g","i","bb","t","f","t","g",57.08,0.335,1,0,252,2197,"-"
"b","u","g","c","bb","f","t","t","g",19.33,10.915,0.585,2,200,7,"-"
"b","u","g","d","v","f","f","f","g",20,0,0.5,0,144,0,"-"
"a","u","g","ff","ff","f","t","f","g",16.08,0.335,0,1,160,126,"-"
"b","u","g","w","v","t","f","f","g",19.17,9.5,1.5,0,120,2206,"+"
"b","u","g","w","v","f","t","f","g",29.5,0.58,0.29,1,340,2803,"-"
"b","u","g","w","v","t","f","t","g",27.67,13.75,5.75,0,487,500,"+"
"a","u","g","k","v","t","t","f","g",29.5,0.46,0.54,4,380,500,"+"
"b","u","g","ff","ff","f","f","f","g",36.08,2.54,0,0,0,1000,"-"
"b","u","g","c","v","t","f","t","g",45.17,1.5,2.5,0,140,0,"-"
"b","u","g","c","v","f","t","f","g",38.42,0.705,0.375,2,225,500,"-"
"a","y","p","k","v","f","f","t","g",29.58,1.75,1.25,0,280,0,"-"
"b","y","p","w","v","t","t","f","g",36.33,2.125,0.085,1,50,1187,"+"
"b","u","g","w","v","t","f","t","g",28.33,5,11,0,70,0,"+"
"a","u","g","w","v","t","f","f","s",28.42,3.5,0.835,0,280,0,"+"
"b","u","g","w","h","t","t","f","g",48.17,7.625,15.5,12,0,790,"+"
"b","y","p","k","h","f","f","t","g",26.17,12.5,1.25,0,0,17,"-"
"b","u","g","cc","h","t","f","t","g",34.25,3,7.415,0,0,0,"+"
"a","u","g","i","bb","t","t","f","s",21.25,2.335,0.5,4,80,0,"+"
"b","u","g","c","h","f","t","t","g",29.42,1.25,0.25,2,400,108,"-"
"b","u","g","m","v","t","t","t","g",56.75,12.25,1.25,4,200,0,"+"
"b","y","p","c","bb","f","f","f","g",26.75,4.5,2.5,0,200,1210,"-"
"b","y","p","ff","ff","f","f","f","g",51.83,2.04,1.5,0,120,1,"-"
"b","u","g","cc","v","t","t","t","g",26.67,4.25,4.29,1,120,0,"+"
"b","y","p","cc","v","f","f","f","g",21.58,0.79,0.665,0,160,0,"-"
"b","y","p","aa","v","t","t","f","g",39.92,0.54,0.5,3,200,1000,"+"
"b","u","g","c","v","t","t","t","g",25.33,0.58,0.29,7,96,5124,"+"
"b","u","g","w","v","f","f","f","g",33.67,1.25,1.165,0,120,0,"-"
"b","y","p","i","bb","f","f","t","g",22,7.835,0.165,0,3.77997545893096,0,"-"
"b","u","g","ff","ff","f","f","t","g",23.08,2.5,0.085,0,100,4208,"-"
"b","u","g","cc","v","t","t","t","g",34.17,1.54,1.54,1,520,50000,"+"
"b","y","p","c","bb","t","f","t","g",37.5,1.75,0.25,0,164,400,"-"
"a","u","g","ff","ff","f","t","t","g",17.1017812970325,1.5,0,2,200,105,"-"
"b","u","g","i","v","t","t","f","g",18.5,2,1.5,2,120,300,"+"
"a","u","g","q","h","t","t","f","g",35.42,12,14,8,0,6590,"+"
"a","u","g","w","v","f","t","t","g",23.75,0.71,0.25,1,240,4,"-"
"a","u","g","j","j","t","f","f","g",46,4,0,0,100,960,"+"
"b","u","g","x","v","t","t","t","g",27.0005012826272,4,5,3,290,2279,"+"
"a","u","g","c","v","f","f","f","g",20.08,1.25,0,0,0,0,"-"
"b","y","p","c","v","f","f","f","g",22.92,3.165,0.165,0,160,1058,"-"
"b","u","g","i","bb","f","f","t","s",33.58,0.25,4,0,420,0,"-"
"b","u","g","i","bb","f","f","f","g",36.17,5.5,5,0,210,687,"-"
"b","u","g","e","v","f","t","f","s",41,0.04,0.04,1,560,0,"+"
"b","u","g","c","v","f","f","f","g",16.5,0.125,0.165,0,132,0,"-"
"b","u","g","m","h","t","t","t","g",37.33,6.5,4.25,12,93,0,"+"
"b","u","g","m","v","t","t","t","g",28.25,0.875,0.96,3,396,0,"+"
"a","u","g","q","h","t","t","f","g",33.08,4.625,1.625,2,0,0,"+"
"b","u","g","i","bb","t","t","t","g",49.5,7.585,7.585,15,0,5000,"+"
"b","u","g","m","v","t","t","f","g",22.83,3,1.29,1,260,800,"+"
"a","u","g","c","v","f","t","t","g",17.92,0.54,1.75,1,80,5,"-"
"b","u","g","k","v","t","t","f","g",35.17,2.5,4.5,7,150,1270,"+"
"a","y","p","ff","ff","f","f","f","g",21.08,5,0,0,0,0,"-"
"b","u","g","c","j","f","f","t","s",22.67,0.165,2.25,0,0,0,"+"
"b","u","g","i","bb","f","f","t","g",26.92,2.25,0.5,0,640,4000,"-"
"b","u","g","d","v","f","f","f","g",18.58,5.71,0.54,0,120,0,"-"
"b","y","p","k","ff","f","f","f","g",32.42,2.165,0,0,120,0,"-"
"b","u","g","c","h","t","t","t","g",27,0.75,4.25,3,312,150,"+"
"b","u","g","x","v","t","t","f","g",28.25,5.125,4.75,2,420,7,"+"
"a","u","g","c","v","t","t","t","g",46.08,3,2.375,8,396,4159,"+"
"b","u","g","c","v","f","f","f","s",17.67,4.46,0.25,0,80,0,"-"
"b","y","p","m","v","f","f","t","g",22.5,11.5,1.5,0,0,4000,"-"
"b","u","g","c","v","f","f","f","g",20.67,0.415,0.125,0,0,44,"-"
"b","u","g","c","bb","t","f","t","g",23.25,4,0.25,0,160,0,"+"
"a","u","g","c","v","t","t","f","g",57.08,19.5,5.5,7,0,3000,"+"
"b","u","g","w","v","t","t","t","g",27.83,1.5,2,11,434,35,"+"
"a","u","g","q","v","f","f","f","s",22.67,0.335,0.75,0,160,0,"-"
"a","u","g","c","v","f","f","f","g",39.08,4,3,0,480,0,"-"
"b","u","g","q","v","t","f","t","g",26,1,1.75,0,280,0,"+"
"b","u","g","m","v","t","t","t","g",44,2,1.75,2,0,15,"+"
"b","u","g","c","v","f","f","t","s",23.42,1,0.5,0,280,0,"-"
"a","u","g","d","v","t","f","t","g",25.491217105959,3.5,3,0,300,0,"-"
"a","u","g","c","v","t","t","f","g",36,1,2,11,0,456,"+"
"b","u","g","c","v","f","f","f","p",33.67,2.165,1.5,0,120,0,"-"
"a","y","p","j","j","f","f","f","g",21.75,1.75,0,0,160,0,"-"
"a","u","g","q","h","t","t","f","g",47.25,0.75,2.75,1,333,892,"+"
"b","u","g","c","v","f","f","f","g",39.5,1.625,1.5,0,0,316,"-"
"b","u","g","cc","bb","f","f","f","g",34.75,2.5,0.5,0,348,0,"-"
"b","u","g","q","h","t","f","t","g",42.17,5.04,12.75,0,92,0,"+"
"b","u","g","w","v","f","f","t","g",34.17,5.25,0.085,0,290,6,"+"
"b","u","g","d","v","f","f","t","g",52.42,1.5,3.75,0,0,350,"-"
"b","y","p","k","h","t","f","t","g",19.67,10,0.835,0,140,0,"-"
"b","u","g","k","ff","f","f","f","g",26.83,0.54,0,0,100,0,"-"
"b","y","p","w","v","f","f","t","g",36.17,0.42,0.29,0,309,2,"-"
"b","u","g","k","v","f","t","t","g",25.92,0.875,0.375,2,174,3,"-"
"b","u","g","w","h","f","t","f","g",17.58,10,0.165,1,120,1,"-"
"a","u","g","aa","v","f","f","f","g",22.75,6.165,0.165,0,220,1000,"-"
"b","u","g","c","v","t","t","t","g",63.33,0.54,0.585,3,180,0,"-"
"b","y","p","cc","v","f","f","t","g",32.08,4,1.5,0,120,0,"-"
"a","u","g","k","v","t","f","t","g",38.25,6,1,0,0,0,"+"
"b","y","p","k","v","f","t","t","g",23.5,3.165,0.415,1,280,80,"-"
"a","u","g","q","v","f","f","f","g",15.92,2.875,0.085,0,120,0,"-"
"b","u","g","r","h","t","f","t","g",33.17,1.04,6.5,0,164,31285,"+"
"a","u","g","m","v","t","f","f","s",27.67,1.5,2,0,368,0,"-"
"b","u","g","aa","v","f","f","f","g",25.25,1,0.5,0,200,0,"-"
"b","u","g","c","v","f","f","t","g",20,11.045,2,0,136,0,"-"
"b","u","g","i","v","f","f","t","g",35,2.5,1,0,210,0,"-"
"a","u","g","w","h","f","t","f","g",30.42,1.375,0.04,3,0,33,"-"
"b","u","g","ff","ff","f","t","f","g",31.25,1.125,0,1,96,19,"-"
"a","u","g","c","v","t","t","t","g",19.75,0.75,0.795,5,140,5,"-"
"b","u","g","w","v","f","f","f","g",26.25,1.54,0.125,0,100,0,"-"
"b","y","p","ff","ff","f","f","f","g",51.83,3,1.5,0,180,4,"-"
"b","u","g","d","v","f","f","t","s",30.75,1.585,0.585,0,0,0,"-"
"b","y","p","cc","h","f","f","f","g",23.92,0.585,0.125,0,240,1,"-"
"a","u","g","q","v","t","f","t","g",37.75,5.5,0.125,0,228,0,"+"
"b","u","g","d","h","t","f","t","g",21.83,0.25,0.665,0,0,0,"+"
"b","y","p","w","v","f","f","t","g",33,2.5,7,0,280,0,"-"
"b","y","p","ff","ff","t","f","t","g",48.75,26.335,0,0,0,0,"-"
"b","y","p","c","v","f","f","f","g",30.17,1.085,0.04,0,170,179,"-"
"b","u","g","w","v","t","t","t","g",59.5,2.75,1.75,5,60,58,"+"
"b","u","g","k","v","f","f","f","g",19.5,0.29,0.29,0,280,364,"-"
"b","y","p","ff","ff","f","f","f","g",22.17,0.585,0,0,100,0,"-"
"a","u","g","aa","v","t","t","f","g",60.92,5,4,4,0,99,"+"
"a","u","g","w","v","f","f","t","g",23.5,1.5,0.875,0,160,0,"-"
"b","y","p","aa","v","t","f","f","g",23,0.625,0.125,0,180,1,"-"
"a","u","g","d","v","f","f","f","g",32,6,1.25,0,272,0,"-"
"b","u","g","c","v","f","f","f","g",28.92,0.375,0.29,0,220,140,"-"
"a","u","g","c","v","f","t","t","g",22.67,0.75,2,2,200,394,"-"
"a","u","g","q","v","t","t","t","g",22.58,10.75,0.415,5,0,560,"+"
"b","u","g","w","v","t","t","f","g",48.25,25.085,1.75,3,120,14,"+"
"a","u","g","c","v","f","f","f","p",71.58,0,0,0,11.7898948505778,0,"+"
"b","u","g","q","v","t","f","t","g",19.33,9.5,1,0,60,400,"+"
"b","y","p","x","v","t","t","t","g",21.92,0.54,0.04,1,840,59,"+"
"b","u","g","cc","h","t","t","f","g",41.17,4.04,7,8,320,0,"+"
"b","u","g","w","v","t","t","f","g",30.83,0,1.25,1,202,0,"+"
"a","y","p","c","v","f","t","f","g",19.58,0.665,1,1,2000,2,"-"
"b","u","g","i","h","f","f","t","g",16.33,4.085,0.415,0,120,0,"-"
"b","u","g","c","v","f","f","f","g",29.83,3.5,0.165,0,216,0,"-"
"a","u","g","j","j","f","f","t","g",26.17,2,0,0,276,1,"-"
"a","u","g","q","h","t","t","f","g",19.67,0.21,0.29,11,80,99,"+"
"b","u","g","c","v","t","f","f","g",21.5,9.75,0.25,0,140,0,"-"
"a","u","g","e","dd","t","t","t","g",30,5.29,2.25,5,99,500,"+"
"b","y","p","ff","ff","f","t","f","g",74.83,19,0.04,2,0,351,"-"
"b","y","p","w","v","t","f","t","g",27,1.5,0.375,0,260,1065,"+"
"b","u","g","e","z","t","t","f","g",40.25,21.5,20,11,0,1200,"+"
"b","u","g","c","h","t","f","f","g",29.92,1.835,4.335,0,260,200,"+"
"b","y","p","m","v","f","f","t","g",40.92,0.5,0.5,0,130,0,"-"
"b","u","g","m","v","t","t","t","g",39.08,6,1.29,5,108,1097,"+"
"b","u","g","i","bb","f","f","t","g",26.67,14.585,0,0,178,0,"-"
"b","y","p","c","v","f","f","t","g",25.67,0.29,1.5,0,160,0,"-"
"a","u","g","cc","v","t","f","f","g",22.92,11.585,0.04,0,80,1349,"+"
"a","u","g","aa","v","t","t","f","g",18.92,9,0.75,2,88,591,"+"
"b","u","g","c","v","t","t","f","g",25.17,6,1,3,0,0,"+"
"b","y","p","aa","v","f","f","t","g",31.58,0.75,3.5,0,320,0,"-"
"a","u","g","q","h","t","t","f","g",26.92,13.5,5,2,0,5000,"+"
"b","u","g","w","v","t","t","t","g",42.08,1.04,5,6,500,10000,"+"
"b","y","p","k","h","t","f","f","g",54.42,0.5,3.96,0,180,314,"+"
