"Sp","Latitude","Altitude","Rainfall","Frosts","Year","PMCno","DBH","Ht","Surv","Vig","Ins_res","Stem_Fm","Crown_Fm","Brnch_Fm","Utility"
"nc",-41.2,160,1000,-3,1981,1780,4.9,2.8,63,2,3,3,3.5,3.5,"0"
"nd",-39.7166666666667,150,900,-2,1986,2569,36.65,16.69,52.3765282009364,2.86393180614583,2.7198484581527,2.77375655027356,2.98962358394529,2.66382969211581,"0"
"fr",-41.2666666666667,300,1200,-3,1982,2552,17.19,12.45,50,4,4,4,4,4,"1"
"rd",-40.95,180,1080,-3,1981,2575,9.48,6.16,50,2,1.8,2.5,3,2.5,"0"
"rd",-39,200,1400,-2,1980,1524,23.36,10.33,66.5562173156919,3.3,3,3,4,4,"1"
"fr",-40.95,180,1080,-3,1983,2552,5.78,7.21,13,1.5,3,4,4,4,"0"
"fr",-39.6333333333333,100,850,-2,1980,1487,21.52,8.77,20,4,3.5,3,3,1,"0"
"br",-40.95,180,1080,-3,1981,1113,4.62,4.11,88,3,2,2.5,3.5,3,"0"
"co",-40.6,150,1250,-3,1983,2562,14.87,15.56,38,3.5,3.5,3.3,3.3,3,"1"
"fa",-41.2666666666667,300,1200,-3,1982,2548,7.7,5.69,100,3,3,4,4,4,"0"
"fa",-39.8333333333333,70,1000,-2,1981,1482,23,11,13,3,3.5,2,1,1,"0"
"pu",-39.7166666666667,150,900,-2,1986,3272,33.68,14.41,48.1066857286672,2.84168476329055,2.71489516053887,2.74371636540798,2.97549217183102,2.64570678730223,"0"
"am",-41.2666666666667,300,1200,-3,1982,2560,11.66,7.27,100,3,3,2,3,2,"0"
"cr",-40,150,1300,-2,1983,1252,26.05,12.15,10,3,3,2.5,3.3,3,"0"
"co",-40,150,1300,-2,1983,2562,38.79,14.56,50,3.9,3.6,3.2,3.5,2.4,"1"
"ob",-41.1333333333333,220,1050,-2,1983,1522,7.6,3.76,63,2,3,3,3,3,"0"
"fa",-41.2666666666667,300,1200,-3,1982,2548,10.08,6.52,50,3,3,4,4,4,"0"
"fr",-40.95,180,1080,-3,1981,1786,17.74,9.99,100,5,3,3,2.5,2,"1"
"rd",-40.6,150,1250,-3,1983,2575,6.87,9.4,50,1.5,3,2,2,2,"0"
"ka",-39.8333333333333,70,1000,-2,1981,1171,10.4,6.4,75,1.7,1.5,0,0,0,"0"
"fr",-39.8333333333333,70,1000,-2,1981,1339,17.3,13.2,71,3.3,3,3,3,3,"0"
"rd",-39.6333333333333,100,850,-2,1980,1524,12.39,5.55,80,3,2.5,2,2,2,"0"
"re",-39.8333333333333,70,1000,-2,1981,2482,16.4,12.1,88,4.8,3,3.3,3.5,2,"1"
"re",-41.2,160,1000,-3,1981,2428,10.9,9.8,4,3,2.5,2,3,4,"0"
"ni",-40,150,1300,-2,1983,2568,40.08,12.27,50,4.1,2.5,2.3,2.6,1.7,"1"
"bxs",-40.95,180,1080,-3,1982,1111,12.26,6.81,71,4.2,3,3,2,2,"0"
"sm",-41.2666666666667,300,1200,-3,1982,1340,1.56,2.16,50,1,2,2,2,3,"0"
"ka",-41.2666666666667,300,1200,-3,1982,2631,5.75,4.26,75,2,3,2,2,2,"0"
"rd",-40.95,180,1080,-3,1981,2575,7.94,6.16,51,2.5,2,2.5,4.5,4,"0"
"br",-40.95,180,1080,-3,1982,2621,3.31,4.34,50,3,2.5,3,3,3,"0"
"rd",-40,150,1300,-2,1983,2575,13.81,10.62,10,1.5,3,2,4,3,"0"
"si",-39.8333333333333,70,1000,-2,1981,2435,20.3,13.6,63,4,2.7,3,2.5,2,"1"
"sm",-40.95,180,1080,-3,1982,1340,7.58,6.06,38,2,2,3,3,3,"0"
"rd",-41.1333333333333,220,1050,-2,1983,2575,15.93,9.1,88,3,3,2,2.5,2.5,"0"
"bxs",-40.95,180,1080,-3,1981,1111,2.84,3.41,3,1,2,3,3,3,"0"
"fa",-41.2666666666667,300,1200,-3,1982,1482,6.52,5.81,100,3,3,3,3,3,"1"
"ni",-40,150,1300,-2,1983,2547,42.95,13.91,50,4.2,2.8,2,2.5,1.7,"1"
"am",-40,150,1300,-2,1983,2560,24.94,14.33,10,3,4,3.5,4,3,"1"
"re",-41.1333333333333,220,1050,-2,1983,2574,7.22,4.1,57,3,3,2,3,2,"0"
"el",-39.8333333333333,70,1000,-2,1981,1338,13.5,10,13,3,4,3,4,3.3,"0"
"rd",-40.95,180,1080,-3,1982,2575,6.97,5.32,50,2,3.5,2,3,3,"0"
"ob",-39,200,1400,-2,1980,1522,30.48,12.09,66.5695052769009,4.5,4,3.5,3.5,2.5,"1"
"fa",-40.95,180,1080,-3,1982,2548,22.23,12.82,100,5,4,3,3,2,"1"
"nd",-40.95,180,1080,-3,1981,1596,17.27,9.01,48,3.5,3,3.3,4,3,"1"
"ob",-40.6,100,1250,-2,1983,1522,27.36,11.49,67,4.7,3.3,3.4,3.4,3,"1"
"rd",-41.2,160,1000,-3,1981,1524,11.8,7.4,88,2.5,2,2.5,3,3,"0"
"ro",-39.8333333333333,70,1000,-2,1981,1192,12.2,4.4,75,3,2,3,2.5,2.5,"0"
"fa",-41.1333333333333,220,1050,-2,1983,1482,22.62,8.83,88,2,3,3,3,3,"0"
"bxs",-40.95,180,1080,-3,1982,1111,6.02,3.63,38,2.5,3,3,3,3,"0"
"mn",-39,200,1400,-2,1980,1362,26.5,10.97,67.5405349797546,3.5,3.5,3.7,4,3.7,"1"
"ka",-41.2666666666667,300,1200,-3,1982,2631,17.83,6.56,75,4,2,1,1,1,"0"
"re",-41.2666666666667,300,1200,-3,1982,2550,9.84,8.68,75,2,2,4,4,4,"0"
"nd",-40.95,180,1080,-3,1982,2635,7.48,3.74,25,3,3.5,3,4,3.5,"0"
"ov",-41.2666666666667,300,1200,-3,1982,1785,2.56,2.91,75,1,1,2,2,3,"0"
"br",-41.2,160,1000,-3,1981,1112,13,11.1,100,3,2,3.5,3,3,"0"
"ob",-40.6,150,1250,-3,1983,1522,19.13,10.66,38,3.5,3,2.5,2.5,2,"1"
"fr",-40.6,150,1250,-3,1983,2552,31.87,20.52,25,3.7,3.5,2.5,2.5,1.5,"0"
"ov",-39,200,1400,-2,1980,1521,31.38,13.32,66.5758113412726,4.3,2.7,4,3.5,3.3,"1"
"co",-39.6333333333333,100,850,-2,1980,1520,18.45,9.96,40,4,3,3.5,4,3.5,"1"
"nd",-39.7166666666667,150,900,-2,1986,3068,4.14,1.89,49.3404185386373,2.84789000881305,2.71609768022075,2.75218934661269,2.97933310666661,2.65073325866619,"0"
"ov",-40,150,1300,-2,1983,1788,31.05,15.25,30,3.2,1.8,2.8,3.5,2.9,"0"
"ov",-40,150,1300,-2,1983,2571,41.87,15.25,30,4.2,2.8,2.6,3.3,2.2,"1"
"rd",-41.2,160,1000,-3,1981,1524,6.5,7,50,2.5,2.5,3,3,3,"0"
"nd",-40.95,180,1080,-3,1982,1596,12.21,8.72,75,3.3,3.5,3,4,3.5,"1"
"rd",-41.2666666666667,300,1200,-3,1982,2575,9.63,5.11,50,1,0.5,2,2,2,"0"
"am",-40.6,150,1250,-3,1983,1592,18.4,14.18,50,3.5,3.2,2,2.5,1.5,"1"
"pa",-41.1333333333333,220,1050,-2,1983,2750,12.8,7.25,50,2.3,4.5,2.5,3,3,"0"
"fr",-39.8333333333333,70,1000,-2,1981,2447,19.8,10.7,75,4.5,3,3,3,2.5,"1"
"ob",-41.1333333333333,220,1050,-2,1983,2570,18.3,9.06,50,3.5,3,2.5,3,2.5,"0"
"re",-40.95,180,1080,-3,1982,2574,15.26,14.08,25,3,4,4,4,3,"1"
"nd",-40,150,1300,-2,1983,2569,31.33,10.2,10,3.5,4,3,4,3,"1"
"nd",-40.6,150,1250,-3,1983,2569,15.15,15.82,75,3,3,3.1,3.4,3,"1"
"nd",-39,200,1400,-2,1980,1596,24.42,7.85,66.118829502738,3,3.5,3.3,3.3,3.3,"1"
"pa",-40.6,150,1250,-3,1983,2750,29.47,14.67,88,4,4,3,3,1.7,"1"
"ov",-40.95,180,1080,-3,1981,2622,11.07,8.95,70,3,2,2.5,4,3,"1"
"fa",-41.2,160,1000,-3,1981,1482,15.4,15.8,4,3,3,3,3,3,"0"
"co",-41.1333333333333,220,1050,-2,1983,2562,19.64,11.02,100,4,3,3,3,3,"1"
"ka",-41.2,160,1000,-3,1981,1171,6.6,5.8,2,3,2.5,2.5,3,0.5,"0"
"fr",-41.2,160,1000,-3,1981,1339,13.7,9.9,88,4,3,2.5,2.5,2.5,"0"
"nd",-39.8333333333333,70,1000,-2,1981,1596,15.1,12.3,88,3.5,3,3.3,4,4,"1"
"nd",-39.7166666666667,150,900,-2,1986,3271,12.2,5.56,48.1090521164676,2.84154145659799,2.71473818176886,2.74358853647533,2.97533083765832,2.6455701757903,"0"
"co",-39.7166666666667,150,900,-2,1986,2562,29.11,12.28,52.4176077837509,2.86408577903757,2.71983447270998,2.77398980630235,2.98969425606816,2.66394745309316,"0"
"ob",-40.6,150,1250,-3,1983,1522,21.7,17.33,25,3.3,3,3,3,3,"1"
"nd",-40.95,180,1080,-3,1983,1596,7.83,6.79,100,3,3,3.5,4.5,3.5,"1"
"ov",-40.95,180,1080,-3,1981,2571,12.72,10.6,37,3,2,3.5,4.5,4.3,"1"
"ov",-41.2666666666667,300,1200,-3,1982,1785,3.03,1.75,75,1,2,2,2,2,"0"
"ov",-41.1333333333333,220,1050,-2,1983,2571,16.15,6.19,100,3,2.3,3,4,4,"1"
"ni",-40.6,150,1250,-3,1983,2568,20.46,19.26,50,3,2.2,3.3,3.3,3,"1"
"fr",-39.8333333333333,70,1000,-2,1981,1339,23.9,12.7,37,4,3,3,3,3,"1"
"nd",-40.1833333333333,130,1000,-3,1980,1596,20.4,10.2,60,4,4,3,3,2.5,"1"
"ov",-40.6,150,1250,-3,1983,1788,16.99,16.52,25,3,2.7,3.2,3.7,3.2,"0"
"te",-39.7166666666667,150,900,-2,1986,2768,26.37,9.89,51.165999284622,2.85754722656173,2.71836473836,2.76516811173359,2.9855331119937,2.65861879920573,"0"
"bxs",-39.8333333333333,70,1000,-2,1981,1111,14.2,10.8,100,3,2.8,3.3,3.3,3,"1"
"ag",-39.8333333333333,70,1000,-2,1981,1094,3.4,5.5,50,1,1,3,3,3,"0"
"fa",-41.2,160,1000,-3,1981,1482,15.9,8.8,75,4,3,3,2,2.5,"1"
"jo",-40.95,180,1080,-3,1981,1595,2.29,2.67,75,2.5,1.5,3,4,4,"0"
"rd",-39.6333333333333,100,850,-2,1980,1524,8.23,6.5,70,2,2,3.3,4,3.5,"0"
"ob",-41.2,160,1000,-3,1981,2469,5.7,5.6,100,3,2.5,4,5,4,"1"
"re",-40.95,180,1080,-3,1983,2553,4.79,4.36,38,2,3.5,3.5,4,3.5,"0"
"re",-41.2666666666667,300,1200,-3,1982,2574,10.07,12.74,100,2.5,2.5,5,5,5,"1"
"rd",-40.95,180,1080,-3,1983,2575,6.7,6.83,75,2.7,2.7,3,3.5,3.5,"0"
"cr",-40.95,180,1080,-3,1983,1252,5.36,4.61,63,3,3,2,2,3,"0"
"nd",-40,150,1300,-2,1983,2635,20.4,10.2,10,3.3,4.5,3.3,4,3.5,"1"
"ob",-39.6333333333333,100,850,-2,1980,1522,13.08,9.79,90,5,4.5,5,4,4,"1"
"am",-39.7166666666667,150,900,-2,1986,3266,20.16,9.21,48.1408267616245,2.84176596406314,2.71483554372077,2.74386681094938,2.97550007636899,2.64576059107784,"0"
"ov",-39.8333333333333,70,1000,-2,1981,1785,10.5,7.6,88,2.3,2,3,3.5,3,"0"
"ka",-41.2666666666667,300,1200,-3,1982,1171,10.81,3.45,100,3,2,1,1,1,"0"
"re",-41.2,160,1000,-3,1981,2430,14,13,63,5,3,3,2,2.5,"1"
"cr",-40.95,180,1080,-3,1983,1252,5.86,5.61,50,3,4,2.5,2.5,3,"0"
"am",-40.95,180,1080,-3,1983,2560,13.13,11.49,88,3,4,3,4,4,"1"
"re",-39.8333333333333,70,1000,-2,1981,1787,21.8,13.8,100,5,3,3,3,2,"1"
"br",-39.8333333333333,70,1000,-2,1981,1113,9.6,7,100,2.6,2,3,3,3,"0"
"nd",-39.7166666666667,150,900,-2,1986,2569,27.79,12.65,52.3749606831783,2.86385790721321,2.71977918157583,2.77368450317195,2.989546950201,2.66376110018885,"0"
"ov",-41.2666666666667,300,1200,-3,1982,1785,8.65,5.95,100,1.5,1,3,3,3,"0"
"pu",-40,150,1300,-2,1983,2573,32.97,14.24,40,3.2,4,3.1,3.3,3,"1"
"nd",-41.2,160,1000,-3,1981,1596,10.4,9.4,100,4,3,2,3.5,3,"1"
"ob",-40,150,1300,-2,1983,2570,49.88,14.05,10,4,4.5,3,4,3,"1"
"co",-40,150,1300,-2,1983,2562,29.22,13.58,30,3.6,3.8,3.5,3.9,3.7,"1"
"re",-41.2666666666667,300,1200,-3,1982,1352,4.98,4.05,75,2,2.5,3,3,3,"0"
"re",-40,150,1300,-2,1983,2550,9.99,5.33,10,1.5,2.5,3,3,3,"0"
"nd",-41.2666666666667,300,1200,-3,1982,2635,8.58,7.48,100,3.5,3,2.5,3.5,3,"1"
"co",-41.1333333333333,220,1050,-2,1983,2562,17.62,9.9,88,3.3,3.3,3,3.5,3.3,"1"
"ob",-40.6,150,1250,-3,1983,2570,22.98,19.9,50,4,2.7,3.5,3.3,3.5,"1"
"el",-39.8333333333333,70,1000,-2,1981,1338,18.9,9,13,2,3.5,3,3.5,3,"0"
"ni",-39,200,1400,-2,1980,2088,31.74,11.69,63.132278312703,4,2.5,3,3,2,"1"
"bxs",-41.2666666666667,300,1200,-3,1982,1111,11.9,7.2,100,3,2,3,3,3,"0"
"br",-40.95,180,1080,-3,1982,2620,3.54,3.43,100,2.5,2,3.3,3.3,3.3,"0"
"ov",-40.95,180,1080,-3,1983,1788,16.16,10.98,13,3.5,2.5,3,4,3,"1"
"nd",-40.95,180,1080,-3,1981,2634,11.84,9.13,18,2.5,3.5,2.5,3.5,3,"0"
"nd",-40.95,180,1080,-3,1982,1596,5.73,4.98,75,2.7,3,3,4,3,"0"
"cr",-41.1333333333333,220,1050,-2,1983,1252,14.13,8.85,100,3,2.5,1.5,2,2,"0"
"re",-39.8333333333333,70,1000,-2,1981,2482,17,14.1,88,4.5,3,3.7,3.7,3.7,"1"
"ov",-41.2666666666667,300,1200,-3,1982,2571,6.41,3.26,75,2,2,2,2,2,"0"
"rd",-41.1333333333333,220,1050,-2,1983,2575,13.31,8.75,75,2.8,3,2.5,3,2.5,"0"
"nd",-40.6,150,1250,-3,1983,2569,17.83,11.8,50,3,3,3,4,2.5,"1"
"am",-40.6,150,1250,-3,1983,1592,24.95,19.69,50,3.5,3,2.7,3,2.7,"1"
"nd",-40.1833333333333,130,1000,-3,1980,1596,24.5,12,20,4,4,4,4,2,"1"
"co",-41.1333333333333,220,1050,-2,1983,2562,17.62,9.9,100,3.5,3,3,3.3,3.3,"1"
"br",-40.95,180,1080,-3,1981,1112,11.43,7.83,88,3,2,3.5,4,4,"1"
"am",-40.95,180,1080,-3,1981,2560,9.16,7.23,17,3,4,3,4,4,"0"
"nd",-40,150,1300,-2,1983,2634,40.52,18.95,10,4.5,4.5,3,4,2,"1"
"am",-41.1333333333333,220,1050,-2,1983,1592,24.3,10.49,50,3.5,3,3,4,2.5,"1"
"ob",-40,150,1300,-2,1983,1522,52.26,15.45,10,5,4.5,2.5,2,2.5,"1"
"sm",-41.2,160,1000,-3,1981,1340,5.7,5.7,100,3,2,3,3,3,"0"
"ov",-41.1333333333333,220,1050,-2,1983,2571,14.53,5.57,100,3,2,3,4,3.5,"0"
"am",-39.7166666666667,150,900,-2,1986,3267,16.63,7.59,48.1341283339752,2.84170486985689,2.71480089156933,2.74379536906002,2.97544943672031,2.64570747819304,"0"
"ni",-40.1833333333333,130,1000,-3,1980,2088,17.6,9,90,4.5,2.5,3,2,1.5,"1"
"re",-41.2666666666667,300,1200,-3,1982,2550,5.44,4.05,50,1,2,3,3,3,"0"
"ni",-39.6333333333333,100,850,-2,1980,2088,10.78,8.93,100,3,2,3,3,3,"1"
"ov",-40,150,1300,-2,1983,2571,39.79,18.02,40,4.3,2.5,3.4,3.8,3.1,"1"
"nd",-40.95,180,1080,-3,1982,2634,6.6,8.1,50,2.8,4,3,4,3.5,"0"
"rd",-40.1833333333333,130,1000,-3,1980,1524,5.4,4.5,20,1,2,3,3,3,"0"
"pu",-39.7166666666667,150,900,-2,1986,3272,35.37,15.14,48.1069806925922,2.84169867650464,2.71490820414805,2.74372992962344,2.97550660031015,2.64571970145279,"0"
"pu",-39,200,1400,-2,1980,1523,33.13,12.33,66.5638136939508,4,4,3.5,4,2.7,"1"
"pa",-40.6,150,1250,-3,1983,2750,32.75,16.37,50,4,4,2,2,2,"1"
"ni",-40,150,1300,-2,1983,2547,46.36,19.09,40,4.3,2.6,3.8,2.9,2.6,"1"
"nd",-40,150,1300,-2,1983,1596,15.2110627062852,17.05,40,3.9,3.9,3.2,3.3,2.4,"1"
"ob",-40,150,1300,-2,1983,1522,42.43,13.35,40,4,3.4,3,3.5,2.1,"1"
"fr",-39,200,1400,-2,1980,1487,27.98,8.64,66.7811402713103,2.3,4,2,2,2,"0"
"pu",-39.6333333333333,100,850,-2,1980,1523,17.18,9.99,90,4.3,4.5,3.5,4,3.3,"1"
"rd",-41.2666666666667,300,1200,-3,1982,2575,8.56,3.33,75,2,3,2,2,2,"0"
"bxs",-40.95,180,1080,-3,1981,1111,4.49,4.11,44,2.5,3,3,3,3,"0"
"re",-41.2666666666667,300,1200,-3,1982,2574,13.55,9.26,75,3,3,4,4,3.5,"1"
"jo",-41.2,160,1000,-3,1981,1595,1.5,1.8,88,1.5,1,3,4,3,"0"
"fa",-40.6,150,1250,-3,1983,2548,41.04,16.6,50,3.3,3,2,1.5,1.5,"1"
"te",-39.7166666666667,150,900,-2,1986,3275,28.19,10.57,48.0873631172724,2.84153814720501,2.71482559843197,2.74353777626523,2.97537828832354,2.64558148538008,"0"
"fr",-41.2,160,1000,-3,1981,1339,10.1,9.5,75,3,3,2,2,2,"0"
"re",-39.8333333333333,70,1000,-2,1981,1787,18.1,14.8,100,4.6,4,4.3,4.3,4,"1"
"nd",-41.2666666666667,300,1200,-3,1982,2635,13.73,8.58,75,3,3,3,3,3,"0"
"rd",-40.95,180,1080,-3,1982,2575,2.72,3.43,50,1,1,2,2,3,"0"
"ov",-40.95,180,1080,-3,1981,1788,9.54,6.83,13,2.5,1.8,2.5,4,3,"0"
"fa",-41.2,160,1000,-3,1981,1978,19.6,10.3,3,3,2.5,2.5,2,2,"0"
"ni",-39,200,1400,-2,1980,2088,33.41,8.35,63.1320720033462,4,2.8,2.5,1.5,1.5,"0"
"rd",-40.95,180,1080,-3,1983,2575,2.63,4.6,38,2,1.5,3,3,3,"0"
"ov",-41.2666666666667,300,1200,-3,1982,1259,11.66,6.18,75,3,2,3,3,3,"0"
"nd",-40.95,180,1080,-3,1981,1596,4.56,3.58,13,2,3,2,3,3,"0"
"fa",-41.2,160,1000,-3,1981,1978,15.7,10,100,4,3,2.5,2.5,2.5,"1"
"fr",-39.8333333333333,70,1000,-2,1981,2447,20.8,12.6,63,4,3,3.3,3.5,3.5,"1"
"fa",-40,150,1300,-2,1983,1482,38.15,16.85,10,3.5,4,3.3,4,3.5,"1"
"te",-46.0799343720991,150,1750,-2,1986,-22.4927154902725,29.02,10.87,81.4821573144313,3.52355103713349,3.27492550661085,3.45007794450576,3.6380809219128,3.26602458769011,"0"
"rd",-40.95,180,1080,-3,1981,1524,4.49,4.49,88,2.3,2,2.5,4,3,"0"
"ni",-40.6,150,1250,-3,1983,2568,24.89,16.71,63,3,2.5,2.7,3,2,"0"
"ov",-40.95,180,1080,-3,1983,2571,8.75,7.27,38,3.5,2.5,3,4,3.3,"0"
"nc",-41.2,160,1000,-3,1981,1780,3.2,5.9,1.5,3,2,2,2,0,"0"
"nd",-40.95,180,1080,-3,1981,1596,7.03,5.99,88,3.5,2.7,3.5,4,4,"1"
"nd",-39.7166666666667,150,900,-2,1986,3270,29.29,13.33,48.1181463013446,2.84171550227445,2.71487872085058,2.74377009910394,2.97549860912768,2.64572812869188,"0"
"nd",-40.6,150,1250,-3,1983,1596,21.45,16.76,75,3,3.2,3.3,3.5,3,"1"
"ob",-40.6,150,1250,-3,1983,1522,20.8,15.41,25,3.5,2.8,3.3,3.2,3.5,"1"
"nd",-41.2666666666667,300,1200,-3,1982,2634,16.3,7.84,100,3,3,3,3,3,"0"
"pu",-40.1833333333333,130,1000,-3,1980,1523,11.5,9,20,2.7,3.7,4,4,3,"1"
"fr",-39.6333333333333,100,850,-2,1980,1487,13.15,9.65,90,4.5,4,3.5,3.5,3,"1"
"re",-39.8333333333333,70,1000,-2,1981,1787,19.6,16.6,100,5,3,4,4,3,"1"
"fr",-39.8333333333333,70,1000,-2,1981,1786,17.8,12.2,63,4.7,3.1,3,3,3,"1"
"ob",-40.6,150,1250,-3,1983,2458,18.88,10.53,63,3.5,3,2,2,1.5,"0"
"nd",-39.7166666666667,150,900,-2,1986,2569,22.89,10.42,52.3740941996425,2.86381705699042,2.71974088645171,2.77364467665053,2.98950458817575,2.66372318358811,"0"
"fa",-40.95,180,1080,-3,1981,2548,15.58,8.06,27,3,3.5,3,2.5,3,"0"
"am",-41.2666666666667,300,1200,-3,1982,1592,4.73,5.31,100,2,3,3,4,4,"1"
"ob",-40.95,180,1080,-3,1981,2469,19.92,7.37,13,2,2.5,3,3,3,"0"
"am",-41.1333333333333,220,1050,-2,1983,2560,20.72,8.67,100,3.5,3.5,2.5,4,4,"1"
"fa",-40.95,180,1080,-3,1981,1482,10.54,7.84,88,4,3.3,3.3,3.5,3.5,"1"
"fr",-41.2,160,1000,-3,1981,2447,11.2,9.1,88,4,3.5,3,3.5,3,"1"
"nd",-41.1333333333333,220,1050,-2,1983,2569,20.86,9.89,25,1.5,3,3,3,3,"0"
"fr",-41.2666666666667,300,1200,-3,1982,2552,16.83,10.31,75,4,3,4,4,3,"1"
"fa",-40.6,100,1250,-2,1983,2548,41.63,12.64,28,4.2,3.2,2.3,1.9,1.7,"0"
"jo",-41.2,160,1000,-3,1981,1595,8,4.9,88,3.5,1.5,4,4,4,"0"
"te",-39.7166666666667,150,900,-2,1986,2768,32.09,12.03,51.1669647818966,2.85759282988023,2.7184074968421,2.76521256826945,2.98558040726819,2.6586611287638,"0"
"ov",-40.95,180,1080,-3,1981,2571,23.55,14.36,37,4,2,3,3.5,2,"1"
"nd",-41.2666666666667,300,1200,-3,1982,1595,16.54,7.23,100,3,2.5,3,4,2,"1"
"fa",-40.95,180,1080,-3,1981,1482,11.03,6.25,38,3.5,3.5,3,2.5,2,"0"
"fa",-40.6,150,1250,-3,1983,2548,22.6,12.61,63,3.5,3,2,2,1.5,"0"
"fa",-39.8333333333333,70,1000,-2,1981,1978,14.6,11.1,100,4,3,3.5,3.5,3.3,"1"
"fr",-41.1333333333333,220,1050,-2,1983,2552,14.25,7.23,63,4,3,3,2.8,2,"0"
"fr",-40.95,180,1080,-3,1983,2552,10.39,8.66,38,3,3.5,3,4,3,"0"
